PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2024-10-06,11:58:01.68,1,1,"Cavey, Owen",10005132,Left,ASH_UNI,"Test17, Ola17",10113791,Right,TeamX,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.36617,-0.745048,1.845333,2368.620351,124.853039,10:15,4.89061,-1.1774,5.6828,-22.85045,13.46272,-17.56154,2.29154,-0.92021,80.20579,-5.031797,-1.294329,0.433714,,,,,,,,,,,,9.39312,7.41859,1.03284,50,4.81374,-3.35366,-128.18547,-2.41636,15.51553,28.29107,-19.92003,ASH_UNI,TeamX,AshlandUniversity,TeamExclusive,Team,20241006-AshlandUniversity-Private-1,c43062b0-83fb-11ef-9b2d-a753a00dd5ee,86.90621,,,8.16038,,,,,,,4b6c6312-2218-47be-bfdf-827076c306df,2024-10-06,15:58:01.68,2024-10-06T11:58:01.6827068-04:00,2024-10-06T15:58:01.6827068Z,,v3,,exId_trackmanTeamX,,"Rozmus, Jack",1000362219,Right,ASH_UNI,2f63cb43-fbd4-433c-b09e-e48180c0a6d0,54.81283,-129.24331,14.14553,4.89017,-1.67152,-9.96002,1.16909,-3.93381,7.75777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,119.810363,-23.269992,2175.941175,0.918653,10:00,0.399173,0.802163,-0.444067,55.395058,6.609981,-29.999811,179.779949,-8.007703,0.003803,-0.139306,-0.990242,8.007761,-0.217905,0.139306,-0.003803,0.990242,-8.007761,0.217905,-0.139306,0.003803,0.990242,-179.779949,8.007703,-0.003803,0.139306,-0.990242
2,2024-10-06,11:58:16.02,1,2,"Cavey, Owen",10005132,Left,ASH_UNI,"Test17, Ola17",10113791,Right,TeamX,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,82.45413,-1.802132,1.786536,1832.863846,122.01666,10:00,4.74879,-1.10344,6.15778,-29.07376,11.97087,-16.88009,0.65977,-0.85914,75.04363,-7.253013,-1.260842,0.461105,,,,,,,,,,,,9.35398,7.15713,0.9766,50,4.59706,-3.10831,-119.67931,-4.61351,13.42524,25.3451,-21.90179,ASH_UNI,TeamX,AshlandUniversity,TeamExclusive,Team,20241006-AshlandUniversity-Private-1,ccc75460-83fb-11ef-9b2d-a753a00dd5ee,81.74376,,,7.4105,,,,,,,4b6c6312-2218-47be-bfdf-827076c306df,2024-10-06,15:58:16.02,2024-10-06T11:58:16.0213180-04:00,2024-10-06T15:58:16.0213180Z,,v3,,exId_trackmanTeamX,,"Rozmus, Jack",1000362219,Right,ASH_UNI,c85efc2a-c6c9-481b-9ec6-7e5ca9ecaf69,54.34043,-120.595,12.67255,4.74945,-3.82222,-10.9509,1.09766,-3.59335,6.71262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,118.180423,-14.581493,1773.828293,0.967791,10:00,0.238944,0.860569,-0.449808,52.683886,26.331432,-39.476037,172.765297,-2.628425,0.125802,-0.045859,-0.990995,2.649489,-7.227051,0.045859,-0.125802,0.990995,-2.649489,7.227051,-0.045859,0.125802,0.990995,-172.765297,2.628425,-0.125802,0.045859,-0.990995
3,2024-10-06,11:58:32.46,1,3,"Cavey, Owen",10005132,Left,ASH_UNI,"Test17, Ola17",10113791,Right,TeamX,Undefined,1,Top,0,1,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.9815,-1.720032,1.927565,2450.538132,123.175095,10:00,4.93667,-1.16571,5.48043,-22.21871,14.10111,-19.57123,1.47438,-0.99245,80.39467,-5.88171,-1.559036,0.433754,,,,,,,,,,,,10.4619,8.02851,1.01028,50,4.771,-3.4609,-128.92865,-4.62248,17.37305,30.1649,-18.84186,ASH_UNI,TeamX,AshlandUniversity,TeamExclusive,Team,20241006-AshlandUniversity-Private-1,d697d780-83fb-11ef-9b2d-a753a00dd5ee,86.89824,,,8.58683,,,,,,,4b6c6312-2218-47be-bfdf-827076c306df,2024-10-06,15:58:32.46,2024-10-06T11:58:32.4690620-04:00,2024-10-06T15:58:32.4690620Z,,v3,,exId_trackmanTeamX,,"Rozmus, Jack",1000362219,Right,ASH_UNI,40d29974-2316-4333-b28f-7f96c6851436,55.01588,-130.0969,15.08245,4.93589,-3.89275,-9.42093,1.15734,-4.13374,8.68653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,121.755559,-19.26554,2313.306932,0.944,10:00,0.322243,0.812226,-0.48626,53.393863,0.396451,-21.790007,179.960475,7.538849,0.000684,0.131198,-0.991356,7.538851,0.039184,0.131198,0.000684,0.991356,-7.538851,-0.039184,-0.131198,-0.000684,0.991356,-179.960475,-7.538849,-0.000684,-0.131198,-0.991356
4,2024-10-06,11:58:50.84,1,4,"Cavey, Owen",10005132,Left,ASH_UNI,"Test17, Ola17",10113791,Right,TeamX,Undefined,1,Top,0,1,2,Fastball,Sinker,InPlay,Undefined,FlyBall,Double,0,0,,88.56494,-0.958868,2.205673,2429.642311,122.846439,10:00,4.96361,-1.19146,5.85516,-24.79135,10.85201,-15.07217,2.00603,-0.39716,81.07583,-5.582614,-0.49731,0.429696,94.88407,33.352604,-15.510325,4363.521037,106.43068,65.76298,-27.79354,379.05662,377.64712,-15.405962,5.125613,8.37969,6.15032,1.02148,50,4.87123,-4.3328,-128.61917,-2.97332,14.03877,26.64754,-21.8702,ASH_UNI,TeamX,AshlandUniversity,TeamExclusive,Team,20241006-AshlandUniversity-Private-1,e1864dc0-83fb-11ef-9b2d-a753a00dd5ee,87.71894,90.33346,,7.48911,,,,2.16142,2.13164,0.37217,4b6c6312-2218-47be-bfdf-827076c306df,2024-10-06,15:58:50.84,2024-10-06T11:58:50.8426940-04:00,2024-10-06T15:58:50.8426940Z,FlyBall,v3,,exId_trackmanTeamX,,"Rozmus, Jack",1000362219,Right,ASH_UNI,f04f11fc-e0b9-4a76-8b20-72076ba6aa11,54.64393,-129.57774,13.32377,4.96403,-2.1866,-10.9351,1.18642,-4.8378,7.01939,185.317837,2.16528,111.92346,-21.72196,5.54016,-0.83403,0.00433,0.02528,-0.00417,0.00022,2.12687,76.6036,-18.43326,0.89131,-0.09063,0.01442,0.00265,-0.0012,0.0001,0.37142,-31.06611,7.26497,-2.31339,0.49091,-0.06005,0.00117,0.00056,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,121.88947,-27.824418,2148.732258,0.884382,10:00,0.471777,0.758607,-0.449379,43.083422,16.097441,-50.508305,171.072617,-15.590176,0.149473,-0.268755,-0.95154,15.771895,-8.596397,0.268755,-0.149473,0.95154,-15.771895,8.596397,-0.268755,0.149473,0.95154,-171.072617,15.590176,-0.149473,0.268755,-0.95154
5,2024-10-06,11:59:48.53,2,1,"Cavey, Owen",10005132,Left,ASH_UNI,"Test18, Ola18",10113792,Right,TeamX,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.32301,0.700928,2.240285,2372.878957,121.777249,10:00,4.92335,-1.53026,5.92927,-25.63454,11.98792,-17.34934,3.438,-0.89642,78.42347,-4.115282,-0.873685,0.441464,42.38724,18.519653,147.725042,2420.928427,,,,64.06409,41.65129,147.664472,1.233329,9.62134,6.30071,1.36139,50,4.96492,-4.20684,-125.3123,0.72981,15.20628,26.7558,-22.21596,ASH_UNI,TeamX,AshlandUniversity,TeamExclusive,Team,20241006-AshlandUniversity-Private-1,03e60c20-83fc-11ef-9b2d-a753a00dd5ee,85.3806,8.6216,,7.89954,,,,3.06077,3.5003,0.85284,4b6c6312-2218-47be-bfdf-827076c306df,2024-10-06,15:59:48.53,2024-10-06T11:59:48.5382332-04:00,2024-10-06T15:59:48.5382332Z,GroundBall,v3,,exId_trackmanTeamX,,"Rozmus, Jack",1000362219,Right,ASH_UNI,4ff1076a-5e78-4665-b940-27b4ec83a50a,54.56927,-126.28412,13.3779,4.92376,1.53674,-11.10798,1.52422,-4.75917,7.60314,318.50088,3.06076,-49.83953,2.41225,0.44789,-0.34824,0.3812,-0.1182,-0.06503,0.03463,3.5003,19.74566,-19.62483,1.22376,0.01489,-0.39052,0.37665,-0.1519,0.02167,0.85285,31.47612,-3.79964,0.18955,0.28885,-0.52352,0.29039,-0.01613,-0.02051,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,122.298545,-26.785577,2118.267363,0.892699,10:00,0.478145,0.749007,-0.458657,44.471648,16.504832,-42.224782,179.241128,-16.7099,0.012685,-0.287526,-0.957689,16.711284,-0.726825,0.287526,-0.012685,0.957689,-16.711284,0.726825,-0.287526,0.012685,0.957689,-179.241128,16.7099,-0.012685,0.287526,-0.957689
6,2024-10-06,12:00:10.97,2,2,"Cavey, Owen",10005132,Left,ASH_UNI,"Test18, Ola18",10113792,Right,TeamX,Undefined,1,Top,0,0,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.96544,-0.297973,2.916887,2441.896917,127.438836,10:15,4.9412,-1.35274,5.86958,-23.42919,14.12457,-16.66174,2.71163,-0.02952,78.27327,-4.730538,-0.068596,0.44106,,,,,,,,,,,,9.52359,7.71327,1.12653,50,4.90369,-5.73651,-126.03863,-1.37945,15.07156,29.48679,-19.96744,ASH_UNI,TeamX,AshlandUniversity,TeamExclusive,Team,20241006-AshlandUniversity-Private-1,114904d0-83fc-11ef-9b2d-a753a00dd5ee,85.4587,,,8.69218,,,,,,,4b6c6312-2218-47be-bfdf-827076c306df,2024-10-06,16:00:10.97,2024-10-06T12:00:10.9721788-04:00,2024-10-06T16:00:10.9721788Z,,v3,,exId_trackmanTeamX,,"Rozmus, Jack",1000362219,Right,ASH_UNI,870b8df4-d544-4c0f-80be-75ffc5c052a0,54.62745,-127.11661,14.7434,4.94078,-0.64947,-9.98372,1.34632,-6.2875,7.53578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,124.930162,-26.977382,2176.183544,0.891186,10:15,0.475216,0.732988,-0.486721,41.404929,31.040567,-49.378883,177.656756,15.575216,0.039385,0.268503,-0.962473,15.587617,2.257152,0.268503,0.039385,0.962473,-15.587617,-2.257152,-0.268503,-0.039385,0.962473,-177.656756,-15.575216,-0.039385,-0.268503,-0.962473
7,2024-10-06,12:00:36.77,2,3,"Cavey, Owen",10005132,Left,ASH_UNI,"Test18, Ola18",10113792,Right,TeamX,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,82.34154,-1.662868,2.814579,1922.255463,133.268248,10:30,4.76339,-1.50108,6.09678,-28.16655,12.90568,-12.27233,0.87593,0.08148,75.26595,-6.93594,0.60457,0.46126,,,,,,,,,,,,7.22536,7.54213,1.29103,50,4.62038,-5.42355,-119.48682,-4.29639,10.40111,23.94136,-21.31691,ASH_UNI,TeamX,AshlandUniversity,TeamExclusive,Team,20241006-AshlandUniversity-Private-1,20a49930-83fc-11ef-9b2d-a753a00dd5ee,81.71632,,,7.07559,,,,,,,4b6c6312-2218-47be-bfdf-827076c306df,2024-10-06,16:00:36.77,2024-10-06T12:00:36.7701692-04:00,2024-10-06T16:00:36.7701692Z,,v3,,exId_trackmanTeamX,,"Rozmus, Jack",1000362219,Right,ASH_UNI,f13f0515-93b6-4f5d-9493-3b6bdf0e6f0f,54.40201,-120.36561,11.97068,4.76372,-3.51394,-10.65846,1.49711,-5.80533,5.20055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,115.346921,-28.20827,1693.95924,0.881235,9:45,0.467351,0.809782,-0.354734,61.315361,10.055421,-22.93229,169.791558,9.032629,0.175032,0.156997,-0.971965,9.175468,10.080517,0.156997,0.175032,0.971965,-9.175468,-10.080517,-0.156997,-0.175032,0.971965,-169.791558,-9.032629,-0.175032,-0.156997,-0.971965
8,2024-10-06,12:00:58.08,2,4,"Cavey, Owen",10005132,Left,ASH_UNI,"Test18, Ola18",10113792,Right,TeamX,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.45279,-1.355384,3.545628,1969.398713,133.095787,10:30,4.76485,-1.35779,5.87696,-30.1912,12.46473,-11.7217,0.9875,0.96252,73.95174,-6.993228,1.446031,0.470068,,,,,,,,,,,,7.14095,7.22559,1.07803,50,4.63777,-6.86505,-117.99785,-3.70835,9.96032,24.69451,-22.09568,ASH_UNI,TeamX,AshlandUniversity,TeamExclusive,Team,20241006-AshlandUniversity-Private-1,2d57c9e0-83fc-11ef-9b2d-a753a00dd5ee,80.185,,,7.50105,,,,,,,4b6c6312-2218-47be-bfdf-827076c306df,2024-10-06,16:00:58.08,2024-10-06T12:00:58.0802748-04:00,2024-10-06T16:00:58.0802748Z,,v3,,exId_trackmanTeamX,,"Rozmus, Jack",1000362219,Right,ASH_UNI,fa94b3e6-48bd-4f85-afbc-97960f818c3c,54.62036,-118.96087,12.34726,4.76559,-2.84668,-11.04784,1.35332,-7.25347,4.98016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,113.676925,-39.314062,1523.693716,0.773685,9:45,0.634668,0.723347,-0.271966,61.440387,-2.272486,-26.698851,166.362541,11.413322,0.231115,0.197885,-0.95259,11.735373,13.362729,0.197885,0.231115,0.95259,-11.735373,-13.362729,-0.197885,-0.231115,0.95259,-166.362541,-11.413322,-0.231115,-0.197885,-0.95259
9,2024-10-06,12:01:22.73,2,5,"Cavey, Owen",10005132,Left,ASH_UNI,"Test18, Ola18",10113792,Right,TeamX,Undefined,1,Top,0,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.50091,2.286007,0.216922,2271.607472,343.560875,5:30,4.81725,-1.58352,5.492,-47.08408,-0.65453,0.65504,3.03315,-1.32601,71.26937,-6.357679,0.333635,0.490421,,,,,,,,,,,,-0.26228,-0.51539,1.56409,50,4.98583,-0.45709,-113.81327,2.9562,-0.34103,22.59781,-32.84415,ASH_UNI,TeamX,AshlandUniversity,TeamExclusive,Team,20241006-AshlandUniversity-Private-1,3c0bac90-83fc-11ef-9b2d-a753a00dd5ee,76.85738,,,7.23154,,,,,,,4b6c6312-2218-47be-bfdf-827076c306df,2024-10-06,16:01:22.73,2024-10-06T12:01:22.7346108-04:00,2024-10-06T16:01:22.7346108Z,,v3,,exId_trackmanTeamX,,"Rozmus, Jack",1000362219,Right,ASH_UNI,00d0ac4c-f1c5-49c4-ad8c-bf0b1d2f02e5,55.00423,-114.80257,11.2989,4.82494,4.39407,-16.42207,1.58377,-0.44216,-0.17051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,14.294867,-80.651214,369.009129,0.162444,6:30,0.986929,0.00072,0.161152,-68.14733,32.818108,60.478352,153.610457,-43.657703,0.321565,-0.690349,-0.648086,46.808595,-18.757598,0.690349,-0.321565,0.648086,-46.808595,18.757598,-0.690349,0.321565,0.648086,-153.610457,43.657703,-0.321565,0.690349,-0.648086
10,2024-10-06,12:01:44.24,2,6,"Cavey, Owen",10005132,Left,ASH_UNI,"Test18, Ola18",10113792,Right,TeamX,Undefined,1,Top,0,3,2,Fastball,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,88.08278,-1.090643,1.535044,2513.073796,119.798083,10:00,4.91091,-1.18062,5.79179,-24.33986,11.9526,-18.77914,1.86757,-1.3173,80.26299,-5.640271,-1.830644,0.43359,,,,,,,,,,,,10.00237,6.77473,1.06555,50,4.80666,-2.62549,-127.8652,-3.23401,16.47577,27.61013,-21.01484,ASH_UNI,TeamX,AshlandUniversity,TeamExclusive,Team,20241006-AshlandUniversity-Private-1,48eb1d60-83fc-11ef-9b2d-a753a00dd5ee,86.931,,,7.81979,,,,,,,4b6c6312-2218-47be-bfdf-827076c306df,2024-10-06,16:01:44.24,2024-10-06T12:01:44.2428092-04:00,2024-10-06T16:01:44.2428092Z,,v3,,exId_trackmanTeamX,,"Rozmus, Jack",1000362219,Right,ASH_UNI,eb2aca64-4c70-4cd2-89f2-e5b6830d3be1,54.70553,-128.87727,13.80507,4.91109,-2.46369,-10.50742,1.17286,-3.22942,8.23789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
