PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2024-10-13,12:31:57.04,1,1,"Stalnaker, Josh",1000370424,Right,ASH_UNI,"Krueckeberg, Sean",1000094050,Left,ASH_UNI,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.5938,0.094429,-1.503793,1282.584695,260.071738,2:45,5.16339,0.81129,6.26044,-42.75113,3.52284,10.87701,1.68789,0.33084,70.49427,-7.874882,0.464396,0.489598,,,,,,,,,,,,-6.11855,2.2826,-0.70491,50,5.14985,2.57272,-112.66157,-1.0462,-7.75508,23.11171,-29.28093,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241013-AshlandUniversity-Private-1,aa609410-8980-11ef-9b2d-a753a00dd5ee,76.98652,,,7.09953,,,,,,,808cf4b5-6c1c-4ee9-ab7f-04d67b1f83f2,2024-10-13,16:31:57.04,2024-10-13T12:31:57.0402626-04:00,2024-10-13T16:31:57.0402626Z,,v3,,,,"Jones, Hunter",1000091694,Right,ASH_UNI,a7064f86-7903-47fd-94df-7b615d9f3f4f,54.23622,-113.52727,11.55586,5.1685,0.05058,-14.64047,-0.80672,2.8632,-3.87754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,247.493332,8.842978,1267.339057,0.988113,2:15,-0.165104,-0.912599,-0.374037,-28.581184,-47.06869,-29.184225,175.25607,32.910757,0.06943,0.543332,-0.836642,33.000504,3.981269,0.543332,0.06943,0.836642,-33.000504,-3.981269,-0.543332,-0.06943,0.836642,-175.25607,-32.910757,-0.06943,-0.543332,-0.836642
2,2024-10-13,12:32:13.02,1,2,"Stalnaker, Josh",1000370424,Right,ASH_UNI,"Krueckeberg, Sean",1000094050,Left,ASH_UNI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.89944,-2.430656,-2.702755,2042.05568,208.576884,1:00,5.33213,0.78606,5.77271,-16.89288,18.22576,9.25666,1.65869,-0.95944,81.46786,-5.648882,-1.047153,0.426521,,,,,,,,,,,,-5.59878,10.42839,-0.56853,50,5.12115,5.75718,-130.25012,-6.04106,-9.52176,29.91552,-14.43859,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241013-AshlandUniversity-Private-1,b3ce5dc0-8980-11ef-9b2d-a753a00dd5ee,88.37189,,,8.43157,,,,,,,808cf4b5-6c1c-4ee9-ab7f-04d67b1f83f2,2024-10-13,16:32:13.02,2024-10-13T12:32:13.0257218-04:00,2024-10-13T16:32:13.0257218Z,,v3,,,,"Jones, Hunter",1000091694,Right,ASH_UNI,1ed95640-6f62-48eb-a9c2-3dc117ccb77f,54.72502,-131.33086,14.95776,5.32997,-5.51944,-7.21929,-0.78273,6.10117,-4.76088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,222.944024,10.789642,2005.954402,0.982321,1:30,-0.192384,-0.676576,-0.710797,-43.118748,-13.47069,-37.939739,174.729502,2.216826,0.091789,0.038681,-0.995027,2.226229,5.266542,0.038681,0.091789,0.995027,-2.226229,-5.266542,-0.038681,-0.091789,0.995027,-174.729502,-2.216826,-0.091789,-0.038681,-0.995027
3,2024-10-13,12:32:29.63,1,3,"Stalnaker, Josh",1000370424,Right,ASH_UNI,"Krueckeberg, Sean",1000094050,Left,ASH_UNI,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.38029,-2.734734,-2.940761,2136.087978,208.478039,1:00,5.27424,0.77594,5.70219,-17.5193,17.5306,8.81115,1.26085,-1.23233,81.52196,-6.066755,-1.367306,0.426103,,,,,,,,,,,,-5.47449,10.19154,-0.53498,50,5.03404,6.33952,-130.80085,-6.79436,-9.33902,31.53199,-14.78813,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241013-AshlandUniversity-Private-1,bdb43da0-8980-11ef-9b2d-a753a00dd5ee,88.45846,,,8.85833,,,,,,,808cf4b5-6c1c-4ee9-ab7f-04d67b1f83f2,2024-10-13,16:32:29.63,2024-10-13T12:32:29.6316226-04:00,2024-10-13T16:32:29.6316226Z,,v3,,,,"Jones, Hunter",1000091694,Right,ASH_UNI,c728fbdd-dcb3-4d9c-842c-98b3c75b3d6b,54.79485,-131.95167,15.76599,5.27217,-6.25464,-7.39407,-0.77257,6.68036,-4.66951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,222.136444,12.047203,2089.042735,0.977976,1:30,-0.214148,-0.665334,-0.715173,-48.949601,-9.08022,-37.783814,172.908906,7.436324,0.122409,0.129424,-0.984005,7.492993,7.03115,0.129424,0.122409,0.984005,-7.492993,-7.03115,-0.129424,-0.122409,0.984005,-172.908906,-7.436324,-0.122409,-0.129424,-0.984005
4,2024-10-13,12:32:46.30,1,4,"Stalnaker, Josh",1000370424,Right,ASH_UNI,"Krueckeberg, Sean",1000094050,Left,ASH_UNI,Undefined,1,Top,0,2,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.95184,0.06137,-1.162147,1284.991869,255.183339,2:30,5.03179,0.80605,6.24089,-41.04951,4.53158,11.44627,1.66762,0.68783,71.23405,-7.58017,0.90833,0.485919,,,,,,,,,,,,-6.32882,2.74449,-0.72519,50,5.0161,1.90163,-113.27851,-1.05711,-8.16119,22.15648,-28.63494,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241013-AshlandUniversity-Private-1,c7adf3a0-8980-11ef-9b2d-a753a00dd5ee,77.5694,,,6.71779,,,,,,,808cf4b5-6c1c-4ee9-ab7f-04d67b1f83f2,2024-10-13,16:32:46.30,2024-10-13T12:32:46.3022914-04:00,2024-10-13T16:32:46.3022914Z,,v3,,,,"Jones, Hunter",1000091694,Right,ASH_UNI,7399946d-487f-4b90-a453-4f8fbebc9b2b,54.25761,-114.10823,11.07824,5.03561,0.01521,-14.31747,-0.80212,2.20725,-4.0806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,247.076067,9.141649,1268.670647,0.987299,2:15,-0.167616,-0.909154,-0.38124,-26.510199,-42.807286,-37.243853,176.929729,-29.153533,0.046775,-0.487152,-0.872064,29.188561,-2.681016,0.487152,-0.046775,0.872064,-29.188561,2.681016,-0.487152,0.046775,0.872064,-176.929729,29.153533,-0.046775,0.487152,-0.872064
5,2024-10-13,12:33:15.11,1,5,"Stalnaker, Josh",1000370424,Right,ASH_UNI,"Krueckeberg, Sean",1000094050,Left,ASH_UNI,Undefined,1,Top,0,2,2,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,90.82599,-4.280391,-5.165867,2156.98426,215.818718,1:15,5.34869,0.74668,5.83994,-14.50733,20.20702,13.65808,0.13802,-2.92918,82.0615,-7.072554,-2.731519,0.424059,,,,,,,,,,,,-8.6789,12.08379,-0.33336,50,4.98995,11.26179,-130.95905,-10.24517,-14.88769,30.81586,-11.4457,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241013-AshlandUniversity-Private-1,d8cb5c40-8980-11ef-9b2d-a753a00dd5ee,88.88499,,,8.7645,,,,,,,808cf4b5-6c1c-4ee9-ab7f-04d67b1f83f2,2024-10-13,16:33:15.11,2024-10-13T12:33:15.1161154-04:00,2024-10-13T16:33:15.1161154Z,,v3,,,,"Jones, Hunter",1000091694,Right,ASH_UNI,d4479738-7260-4b80-8dad-0da66778533d,54.65811,-132.0506,15.40793,5.34567,-9.83975,-5.72285,-0.74161,11.78913,-7.44385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,225.099772,11.697786,2112.18509,0.979231,1:30,-0.212039,-0.706823,-0.674863,-51.972532,-4.895716,-28.670489,174.538251,5.47419,0.094747,0.095397,-0.99092,5.499004,5.436764,0.095397,0.094747,0.99092,-5.499004,-5.436764,-0.095397,-0.094747,0.99092,-174.538251,-5.47419,-0.094747,-0.095397,-0.99092
6,2024-10-13,12:34:07.52,2,1,"Stalnaker, Josh",1000370424,Right,ASH_UNI,"Dobbels, Gavin",10067727,Right,ASH_UNI,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.94302,3.568156,1.448734,2282.3349,50.155967,7:45,5.17163,1.0359,5.31769,-65.96145,-11.69359,-16.21265,3.02891,1.04475,66.3582,-8.421152,-1.431128,0.530204,,,,,,,,,,,,8.49725,-6.30658,-1.15511,50,5.4477,-2.05428,-105.67045,4.408,9.50966,19.72437,-39.23203,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241013-AshlandUniversity-Private-1,f860d710-8980-11ef-9b2d-a753a00dd5ee,71.09049,,,6.58482,,,,,,,808cf4b5-6c1c-4ee9-ab7f-04d67b1f83f2,2024-10-13,16:34:07.52,2024-10-13T12:34:07.5235138-04:00,2024-10-13T16:34:07.5235138Z,,v3,,,,"Jones, Hunter",1000091694,Right,ASH_UNI,18a76087-3b64-46d2-9e58-ab2ce54ed56e,55.18327,-106.63357,9.86219,5.1857,6.32365,-19.61601,-1.04347,-2.51863,4.75483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,39.392062,39.116408,1770.785519,0.775866,7:15,-0.613999,0.530693,0.584269,-10.846127,-74.297018,-34.401133,174.71926,-20.131071,0.086413,-0.344169,-0.934923,20.209948,-4.957294,0.344169,-0.086413,0.934923,-20.209948,4.957294,-0.344169,0.086413,0.934923,-174.71926,20.131071,-0.086413,0.344169,-0.934923
7,2024-10-13,12:34:22.44,2,2,"Stalnaker, Josh",1000370424,Right,ASH_UNI,"Dobbels, Gavin",10067727,Right,ASH_UNI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.41092,-1.650744,-0.495993,2137.438757,213.26695,1:00,5.21875,1.07833,5.85172,-15.0241,20.71068,12.6869,2.43245,1.67469,80.03648,-4.573609,1.779419,0.430246,,,,,,,,,,,,-6.57217,11.48119,-1.0451,50,5.07593,0.55466,-129.53054,-4.11359,-10.92439,32.51177,-13.08979,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241013-AshlandUniversity-Private-1,00eaa960-8981-11ef-9b2d-a753a00dd5ee,87.60668,,,9.37443,,,,,,,808cf4b5-6c1c-4ee9-ab7f-04d67b1f83f2,2024-10-13,16:34:22.44,2024-10-13T12:34:22.4435522-04:00,2024-10-13T16:34:22.4435522Z,,v3,,,,"Jones, Hunter",1000091694,Right,ASH_UNI,6ef76a90-4896-470a-96f5-9b0f2e7675c1,54.64049,-130.6901,16.25589,5.21432,-3.64674,-6.5449,-1.07183,0.94429,-5.4622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,220.075496,4.05781,2132.08054,0.997493,1:15,-0.05884,-0.643954,-0.762798,-37.220292,-16.852997,-42.898006,170.89357,5.936419,0.15742,0.103425,-0.982101,6.011645,9.057182,0.103425,0.15742,0.982101,-6.011645,-9.057182,-0.103425,-0.15742,0.982101,-170.89357,-5.936419,-0.15742,-0.103425,-0.982101
8,2024-10-13,12:34:39.26,2,3,"Stalnaker, Josh",1000370424,Right,ASH_UNI,"Dobbels, Gavin",10067727,Right,ASH_UNI,Undefined,1,Top,0,1,1,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,74.88425,3.117689,0.670356,2422.559758,44.288472,7:30,5.23702,0.92415,4.89702,-67.91193,-15.29001,-16.75288,2.5296,0.16215,67.79478,-9.125967,-2.285777,0.522101,91.01221,-24.175449,8.959637,,,,,12.58425,9.95913,10.992557,0.077762,8.49977,-8.07685,-0.97474,50,5.48474,-0.59687,-108.42099,3.4852,9.93549,22.13731,-41.61515,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241013-AshlandUniversity-Private-1,0b030af0-8981-11ef-9b2d-a753a00dd5ee,72.19374,4.26609,,7.08948,,,,2.96594,4.26609,0.91954,808cf4b5-6c1c-4ee9-ab7f-04d67b1f83f2,2024-10-13,16:34:39.26,2024-10-13T12:34:39.2617794-04:00,2024-10-13T16:34:39.2617794Z,GroundBall,v3,,,,"Jones, Hunter",1000091694,Right,ASH_UNI,4f8a8216-a7b6-4f4b-a102-936c590e7acf,55.60456,-109.55935,11.06866,5.2505,5.62516,-20.80758,-0.93091,-1.10778,4.96775,180,2.96058,120.71922,,,,,,,,4.26852,-54.8606,,,,,,,,0.9187,19.03288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,,36.070408,46.333951,1672.665821,0.690454,7:15,-0.706678,0.445265,0.54986,-57.696586,37.757767,56.225606,174.422864,-20.777224,0.090865,-0.354735,-0.930541,20.867553,-5.213397,0.354735,-0.090865,0.930541,-20.867553,5.213397,-0.354735,0.090865,0.930541,-174.422864,20.777224,-0.090865,0.354735,-0.930541
9,2024-10-13,12:35:16.56,3,1,"Stalnaker, Josh",1000370424,Right,ASH_UNI,"Overholt, Collin",1000335364,Left,ASH_UNI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.19691,-0.586179,-2.115392,2141.016181,211.727061,1:00,5.25595,1.12685,5.43621,-17.65926,17.78206,10.20071,3.23504,-0.00488,81.16703,-3.94612,-0.301526,0.428476,65.38949,38.870406,-149.522621,3954.189065,-97.9215,36.07006,-50.11364,175.5751,71.94939,-152.400659,2.731254,-5.79414,9.4917,-0.94686,50,5.19237,4.35722,-130.65805,-1.89571,-9.87261,31.21068,-16.00119,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241013-AshlandUniversity-Private-1,213199e0-8981-11ef-9b2d-a753a00dd5ee,87.96862,38.70125,,9.02988,,,,-0.07295,3.19279,-0.01898,808cf4b5-6c1c-4ee9-ab7f-04d67b1f83f2,2024-10-13,16:35:16.56,2024-10-13T12:35:16.5648194-04:00,2024-10-13T16:35:16.5648194Z,Popup,v3,,,,"Jones, Hunter",1000091694,Right,ASH_UNI,2013f4da-5ac2-4f53-8f0e-50195da7be15,55.05841,-131.86082,15.60534,5.25355,-1.27907,-8.00059,-1.12211,4.73768,-4.93631,32.852737,-0.07269,-64.36268,2.83038,-0.02442,0.14675,-0.19327,0.08382,-0.01367,0.0005,3.19242,60.20327,-29.59432,4.46357,-1.4772,0.7432,-0.31222,0.07146,-0.00645,-0.01895,-37.87473,8.62245,-3.98121,1.42352,-0.60176,0.24731,-0.06399,0.0068,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,224.425821,13.115422,2085.167617,0.973915,1:30,-0.245451,-0.684012,-0.686936,-52.198311,-1.857293,-25.913239,176.781339,5.830191,0.055856,0.101581,-0.993258,5.839339,3.201994,0.101581,0.055856,0.993258,-5.839339,-3.201994,-0.101581,-0.055856,0.993258,-176.781339,-5.830191,-0.055856,-0.101581,-0.993258
10,2024-10-13,12:35:39.67,3,2,"Stalnaker, Josh",1000370424,Right,ASH_UNI,"Overholt, Collin",1000335364,Left,ASH_UNI,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.04386,0.501692,-1.116242,1300.82529,242.085028,2:00,5.11498,1.1155,6.27154,-38.89904,6.77394,9.79284,2.33598,0.90245,70.81922,-6.782311,0.6552,0.486408,,,,,,,,,,,,-5.40296,3.85583,-1.03739,50,5.13357,1.85448,-113.31225,-0.11593,-6.93827,23.08181,-27.22255,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241013-AshlandUniversity-Private-1,2f013710-8981-11ef-9b2d-a753a00dd5ee,77.49136,,,7.22464,,,,,,,808cf4b5-6c1c-4ee9-ab7f-04d67b1f83f2,2024-10-13,16:35:39.67,2024-10-13T12:35:39.6790594-04:00,2024-10-13T16:35:39.6790594Z,,v3,,,,"Jones, Hunter",1000091694,Right,ASH_UNI,98f26037-1718-4432-9367-460de325999b,54.22372,-114.16938,11.54091,5.1191,0.89497,-13.61127,-1.11104,2.11213,-3.46913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,239.688017,11.490274,1274.754846,0.979959,2:00,-0.216197,-0.844212,-0.490474,-26.442952,-37.612473,-34.556018,176.024148,28.526083,0.060919,0.477559,-0.876485,28.584047,3.492543,0.477559,0.060919,0.876485,-28.584047,-3.492543,-0.477559,-0.060919,0.876485,-176.024148,-28.526083,-0.060919,-0.477559,-0.876485
