PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,Oi 6,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,10/5/2024,59:15.6,1,1,"Tabor, Jacob",1000282880,Left,TOL_ROC,"Miller, Cameron",10005975,Left,ASH_UNI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,88.3072,-0.278124,2.527116,2234.367866,141.121395,10:45,5.54268,-2.63782,6.57025,-23.41647,11.40886,-8.33941,3.33612,-1.01484,80.93073,-4.711377,1.012686,0.424736,,,,,,,,,,,,5.12799,6.3963,2.46761,50,5.51351,-5.36205,-128.38898,-1.28942,8.56989,26.27581,-21.48461,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,c5c6fa90-8332-11ef-8cc6-2f507be82399,88.7432,,,7.37648,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,59:15.6,2024-10-05T11:59:15.5976716-04:00,2024-10-05T15:59:15.5976716Z,,v3,471468,,,"White, Brayden",1000223004,Right,TOL_ROC,1bb2686e-74d8-4151-9ec7-96ab7f70a043,53.9298,-129.19074,13.13791,5.54285,-0.63386,-10.74231,2.63522,-5.62354,4.28495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,,124.47531,-40.019766,1711.12951,0.765823,10:15,0.658471,0.634435,-0.404855,65.832843,-41.151785,-29.196839,176.176454,4.544497,0.066474,0.079233,-0.994637,4.554593,3.811507,0.079233,0.066474,0.994637,-4.554593,-3.811507,-0.079233,-0.066474,0.994637,-176.176454,-4.544497,-0.066474,-0.079233,-0.994637
2,10/5/2024,59:43.3,2,1,"Tabor, Jacob",1000282880,Left,TOL_ROC,"Dobbels, Gavin",10067727,Right,ASH_UNI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.29531,-1.314011,2.619843,2221.736947,144.99319,10:45,5.54719,-2.36006,6.43528,-22.25572,12.3393,-7.8215,2.48351,-0.60257,81.13166,-5.53725,1.202889,0.423329,,,,,,,,,,,,4.84646,7.19099,2.17692,50,5.44365,-5.61469,-129.58634,-3.62014,8.17742,29.03108,-20.0407,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,d65f7bc0-8332-11ef-8cc6-2f507be82399,89.03812,,,8.16365,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,59:43.3,2024-10-05T11:59:43.3590284-04:00,2024-10-05T15:59:43.3590284Z,,v3,471468,,,"White, Brayden",1000223004,Right,TOL_ROC,fd6da780-e696-4fa7-b5ee-da72a0a14d20,54.06061,-130.49287,14.51554,5.54692,-2.99435,-10.02035,2.35623,-5.87004,4.08871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,126.994963,-33.935843,1843.293397,0.829663,10:15,0.565174,0.67527,-0.473907,59.180333,-52.15089,-14.999422,171.566155,5.306756,0.146039,0.092488,-0.984946,5.364434,8.397434,0.092488,0.146039,0.984946,-5.364434,-8.397434,-0.092488,-0.146039,0.984946,-171.566155,-5.306756,-0.146039,-0.092488,-0.984946
3,10/5/2024,59:58.0,2,2,"Tabor, Jacob",1000282880,Left,TOL_ROC,"Dobbels, Gavin",10067727,Right,ASH_UNI,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.6933,0.735119,1.383439,2289.965992,293.672964,3:45,5.47516,-3.06233,5.78188,-46.27215,-2.19047,8.03717,2.30333,-1.10518,73.39064,-7.744558,2.823916,0.47786,,,,,,,,,,,,-3.69595,-0.85638,2.9435,50,5.50822,-3.1074,-115.78623,-0.04365,-5.02225,21.42393,-33.33776,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,df228680-8332-11ef-8cc6-2f507be82399,78.87763,,,6.30266,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,59:58.0,2024-10-05T11:59:58.0310540-04:00,2024-10-05T15:59:58.0310540Z,,v3,471468,,,"White, Brayden",1000223004,Right,TOL_ROC,744b5f5a-56a9-49d0-9686-e77f055f1992,54.71704,-116.65576,10.71197,5.48253,1.30943,-16.66888,3.06548,-2.90357,-2.51113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,329.883051,-61.155516,1104.757205,0.482434,5:00,0.862425,-0.253287,0.438256,-78.253334,-4.429918,49.393094,150.826705,-34.558161,0.401442,-0.567243,-0.719083,38.267847,-23.668362,0.567243,-0.401442,0.719083,-38.267847,23.668362,-0.567243,0.401442,0.719083,-150.826705,34.558161,-0.401442,0.567243,-0.719083
4,10/5/2024,00:12.9,2,3,"Tabor, Jacob",1000282880,Left,TOL_ROC,"Dobbels, Gavin",10067727,Right,ASH_UNI,Undefined,1,Top,0,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,1,0,,80.62318,-0.432979,2.723306,2281.271878,314.832456,4:30,5.51051,-2.67952,5.85301,-49.66936,-6.5376,7.90182,0.96863,0.51123,74.41731,-9.489004,4.14114,0.472683,,,,,,,,,,,,-3.30355,-2.92169,2.4534,50,5.44584,-5.86168,-117.07817,-2.51493,-4.57115,22.74189,-36.21686,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,e7fcc2c0-8332-11ef-8cc6-2f507be82399,79.74149,,,6.20587,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,00:12.9,2024-10-05T12:00:12.8703500-04:00,2024-10-05T16:00:12.8703500Z,,v3,471468,,,"White, Brayden",1000223004,Right,TOL_ROC,f117bc5e-0dca-4a55-9be0-e1a58da00b44,54.64848,-117.97766,11.37095,5.51699,-1.08248,-18.10843,2.68167,-5.68088,-2.28558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,334.971502,-61.800825,1077.987804,0.472538,5:15,0.861455,-0.193251,0.469626,-85.840592,0.332408,51.765449,153.49362,-31.862887,0.379047,-0.527888,-0.760038,34.782114,-22.274639,0.527888,-0.379047,0.760038,-34.782114,22.274639,-0.527888,0.379047,0.760038,-153.49362,31.862887,-0.379047,0.527888,-0.760038
5,10/5/2024,00:42.8,3,1,"Tabor, Jacob",1000282880,Left,TOL_ROC,"Cangelosi, Jeremiah",1000099336,Right,ASH_UNI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.26061,-0.684169,4.641836,2203.774412,145.058853,10:45,5.62517,-2.71387,6.56333,-23.83899,10.69379,-6.66693,3.00928,0.99531,81.16163,-5.197634,3.436255,0.422948,,,,,,,,,,,,4.85957,6.1652,2.39622,50,5.56783,-10.23925,-129.32582,-2.23778,8.17916,28.53113,-21.79734,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,f9cb7a00-8332-11ef-8cc6-2f507be82399,89.11837,,,8.09898,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,00:42.8,2024-10-05T12:00:42.7732492-04:00,2024-10-05T16:00:42.7732492Z,,v3,471468,,,"White, Brayden",1000223004,Right,TOL_ROC,3b30133f-c82c-4937-a373-15cc8f836afb,53.93323,-130.19065,14.26557,5.62565,-1.57706,-10.89867,2.71035,-10.48717,4.08958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,125.423496,-37.105198,1757.574438,0.797529,10:15,0.630933,0.657056,-0.412554,53.719752,-44.459093,-19.244667,178.937503,-2.226827,0.018529,-0.038856,-0.999073,2.227209,-1.061694,0.038856,-0.018529,0.999073,-2.227209,1.061694,-0.038856,0.018529,0.999073,-178.937503,2.226827,-0.018529,0.038856,-0.999073
6,10/5/2024,00:58.5,3,2,"Tabor, Jacob",1000282880,Left,TOL_ROC,"Cangelosi, Jeremiah",1000099336,Right,ASH_UNI,Undefined,1,Top,2,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,89.0101,-1.350324,3.951123,2187.218134,153.308694,11:00,5.58436,-2.65264,6.31332,-22.44033,12.60095,-5.74189,2.46734,0.51409,80.935,-5.592804,2.916009,0.426051,89.05142,12.370973,6.491835,1629.006023,108.83279,15.78645,15.98173,205.84065,205.152,10.515814,2.090935,4.17437,7.31087,2.3657,50,5.47456,-8.68259,-129.00539,-3.71134,6.98457,28.62378,-19.94152,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,03254680-8333-11ef-8cc6-2f507be82399,88.46934,15.78517,,8.0751,,,,0.48912,2.38794,-0.57049,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,00:58.5,2024-10-05T12:00:58.4841740-04:00,2024-10-05T16:00:58.4841740Z,LineDrive,v3,471468,,,"White, Brayden",1000223004,Right,TOL_ROC,153b8fef-3543-44cb-a741-cde45d9088ba,54.18404,-129.93043,14.31189,5.58408,-3.06688,-9.97076,2.64994,-8.90831,3.49228,226.708639,0.48912,126.75787,-20.44661,4.14487,-0.86772,0.17482,-0.03297,0.00478,-0.00035,2.38794,27.98164,-15.33496,0.84588,-0.11596,0.01843,-0.00162,0.00024,-3.00E-05,-0.57049,14.42396,3.26459,-1.11831,0.31352,-0.07552,0.01547,-0.0023,0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,124.916371,-37.315965,1739.504624,0.795305,10:15,0.620637,0.666245,-0.413434,60.417374,-65.033986,-15.862583,168.442566,4.510001,0.19973,0.078633,-0.976691,4.602939,11.521156,0.078633,0.19973,0.976691,-4.602939,-11.521156,-0.078633,-0.19973,0.976691,-168.442566,-4.510001,-0.19973,-0.078633,-0.976691
7,10/5/2024,01:41.1,4,1,"Tabor, Jacob",1000282880,Left,TOL_ROC,"Caron, Max",1000370437,Right,ASH_UNI,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.26029,1.318497,2.517488,2257.355017,282.128754,3:30,5.37759,-2.81068,5.79606,-44.19928,-0.60272,9.03335,2.92211,0.28523,73.66535,-6.799141,4.133098,0.475223,,,,,,,,,,,,-3.88925,-0.24795,2.59822,50,5.45978,-5.47057,-116.48722,1.23228,-5.33791,22.11281,-32.51434,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,1c887390-8333-11ef-8cc6-2f507be82399,79.31527,,,6.59493,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,01:41.1,2024-10-05T12:01:41.1496972-04:00,2024-10-05T16:01:41.1496972Z,,v3,471468,,,"White, Brayden",1000223004,Right,TOL_ROC,ed454a63-62a2-4b84-9524-22ffa3b420c5,54.70272,-117.37654,11.05641,5.38392,2.53993,-16.25717,2.81391,-5.2559,-2.66895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,330.842546,-64.272694,979.891776,0.434088,5:00,0.87825,-0.232166,0.418063,-83.596799,10.918334,44.244407,152.167436,-35.62649,0.379502,-0.582499,-0.7188,39.020516,-22.302861,0.582499,-0.379502,0.7188,-39.020516,22.302861,-0.582499,0.379502,0.7188,-152.167436,35.62649,-0.379502,0.582499,-0.7188
8,10/5/2024,02:01.4,4,2,"Tabor, Jacob",1000282880,Left,TOL_ROC,"Caron, Max",1000370437,Right,ASH_UNI,Undefined,1,Top,2,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.66673,1.245018,0.698972,2250.769163,289.628291,3:45,5.44756,-2.83104,5.69255,-46.65849,-2.41957,10.52965,2.71991,-1.30213,73.29931,-7.299514,2.583288,0.478711,,,,,,,,,,,,-5.10953,-1.07161,2.76594,50,5.52349,-1.82919,-115.74199,0.94329,-6.94188,21.28758,-33.62995,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,28af1bb0-8333-11ef-8cc6-2f507be82399,78.73734,,,6.36742,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,02:01.4,2024-10-05T12:02:01.4385676-04:00,2024-10-05T16:02:01.4385676Z,,v3,471468,,,"White, Brayden",1000223004,Right,TOL_ROC,ca0bcf58-b152-4540-b559-0686ce680fd1,54.80611,-116.62259,10.64379,5.4557,2.33446,-16.81498,2.83567,-1.54203,-3.47094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,327.970444,-61.343657,1079.367613,0.479555,5:00,0.866754,-0.273342,0.417159,-81.140935,2.752792,44.275962,150.528691,-33.746543,0.409089,-0.55552,-0.723908,37.502271,-24.147638,0.55552,-0.409089,0.723908,-37.502271,24.147638,-0.55552,0.409089,0.723908,-150.528691,33.746543,-0.409089,0.55552,-0.723908
9,10/5/2024,02:20.6,4,3,"Tabor, Jacob",1000282880,Left,TOL_ROC,"Caron, Max",1000370437,Right,ASH_UNI,Undefined,1,Top,2,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.51386,-0.268712,2.565281,2255.029596,128.984903,10:15,5.65767,-2.7847,6.18705,-22.13249,12.82414,-14.29796,3.56494,-1.60604,80.67357,-4.475862,-0.01291,0.425536,,,,,,,,,,,,8.18827,7.0813,2.59807,50,5.62627,-5.21952,-129.82724,-1.27522,13.77234,30.86562,-20.26361,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,340aaba0-8333-11ef-8cc6-2f507be82399,88.57644,,,8.84029,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,02:20.6,2024-10-05T12:02:20.5832716-04:00,2024-10-05T16:02:20.5832716Z,,v3,471468,,,"White, Brayden",1000223004,Right,TOL_ROC,3ba6f4ad-c963-4a0a-8676-7b81ed9b4e10,54.30894,-130.84765,15.43281,5.65736,-0.60531,-10.1318,2.77815,-5.67483,6.88617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,120.325002,-30.477585,1943.446858,0.861828,10:00,0.522678,0.746279,-0.41216,42.335525,-52.877425,5.7527,178.262216,1.336941,0.030317,0.023332,-0.999268,1.337556,1.73731,0.023332,0.030317,0.999268,-1.337556,-1.73731,-0.023332,-0.030317,0.999268,-178.262216,-1.336941,-0.030317,-0.023332,-0.999268
10,10/5/2024,02:40.2,4,4,"Tabor, Jacob",1000282880,Left,TOL_ROC,"Caron, Max",1000370437,Right,ASH_UNI,Undefined,1,Top,2,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.10247,-0.313705,1.109371,2201.140126,307.218452,4:15,5.41284,-3.00317,5.73912,-49.52117,-5.9474,9.50418,0.99392,-1.17805,74.24488,-9.328768,2.814505,0.475099,,,,,,,,,,,,-4.57024,-2.59941,2.90488,50,5.35608,-2.61406,-116.46778,-2.29078,-6.29515,21.30233,-35.75456,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,3fbe6db0-8333-11ef-8cc6-2f507be82399,79.336,,,5.85759,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,02:40.2,2024-10-05T12:02:40.1572876-04:00,2024-10-05T16:02:40.1572876Z,,v3,471468,,,"White, Brayden",1000223004,Right,TOL_ROC,ea31fd12-1ed9-4c20-9ca7-76cd253e02ca,54.76244,-117.33561,10.65116,5.41973,-0.83418,-17.87728,3.00615,-2.3576,-3.14757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,330.525666,-56.682648,1209.033272,0.549276,5:00,0.827693,-0.265683,0.494304,-94.052345,14.08456,32.638896,149.646916,-34.420719,0.416849,-0.565265,-0.711837,38.452871,-24.63582,0.565265,-0.416849,0.711837,-38.452871,24.63582,-0.565265,0.416849,0.711837,-149.646916,34.420719,-0.416849,0.565265,-0.711837
