PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2024-09-28,12:01:05.20,1,1,"Hall, Matthew",1000370436,Right,ASH_UNI,"Test10, TestK10",1000233758,Right,TestK,Undefined,1,Top,0,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,78.92112,-0.921227,-2.99866,2001.755749,250.440112,2:15,5.80026,1.51066,6.19525,-36.23455,7.71544,18.1654,1.92904,0.25365,73.1671,-7.634514,0.28026,0.477145,,,,,,,,,,,,-10.24941,4.59603,-1.29419,50,5.71232,5.38245,-114.72084,-2.89561,-13.78906,19.33218,-25.99078,ASH_UNI,TestK,AshlandUniversity,TeamExclusive,Team,20240928-AshlandUniversity-Private-1,de5de1c0-7db2-11ef-8393-85d47ffc108e,78.9957,,,5.75402,,,,,,,0c7fd7cb-bdf4-4166-a9b3-2da1be256861,2024-09-28,16:01:05.20,2024-09-28T12:01:05.2064080-04:00,2024-09-28T16:01:05.2064080Z,,v3,,test-11,,"Peltz, Ben",1000370416,Right,ASH_UNI,8153187a-85d0-45b0-9815-bd42c716c9a6,54.30557,-115.44412,9.66609,5.80246,-1.92322,-12.99539,-1.50521,5.89834,-6.89453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,241.338707,4.779795,1994.794255,0.996522,2:00,-0.094166,-0.875645,-0.473685,83.846678,45.670368,-78.984342,139.95065,67.960369,0.241452,0.926925,-0.287249,72.782088,13.972264,0.926925,0.241452,0.287249,-72.782088,-13.972264,-0.926925,-0.241452,0.287249,-139.95065,-67.960369,-0.241452,-0.926925,-0.287249
2,2024-09-28,12:01:36.02,2,1,"Hall, Matthew",1000370436,Right,ASH_UNI,"Test11, TestK11",1000233759,Right,TestK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.0472,-2.566224,-1.997401,1943.851993,219.329538,1:15,5.85812,1.51275,6.08874,-20.98915,14.70367,11.14296,1.73217,0.59293,80.93599,-6.508096,0.010122,0.429993,,,,,,,,,,,,-6.31973,8.62552,-1.36466,50,5.64888,4.01616,-127.83784,-6.36661,-10.49277,25.5371,-17.85291,ASH_UNI,TestK,AshlandUniversity,TeamExclusive,Team,20240928-AshlandUniversity-Private-1,f09ac420-7db2-11ef-8393-85d47ffc108e,87.6582,,,7.11121,,,,,,,0c7fd7cb-bdf4-4166-a9b3-2da1be256861,2024-09-28,16:01:36.02,2024-09-28T12:01:36.0238440-04:00,2024-09-28T16:01:36.0238440Z,,v3,,test-11,,"Peltz, Ben",1000370416,Right,ASH_UNI,adc7301b-9263-41f1-b64f-2417dafc9062,54.40994,-128.71576,12.76855,5.85721,-5.75286,-8.92646,-1.50893,4.37689,-5.24638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,223.196128,19.828637,1828.603629,0.940711,1:30,-0.333752,-0.658457,-0.67457,-34.029188,-9.964275,-19.649338,167.569155,14.138019,0.208741,0.244259,-0.946977,14.46334,12.048573,0.244259,0.208741,0.946977,-14.46334,-12.048573,-0.244259,-0.208741,0.946977,-167.569155,-14.138019,-0.208741,-0.244259,-0.946977
3,2024-09-28,12:01:47.84,2,2,"Hall, Matthew",1000370436,Right,ASH_UNI,"Test11, TestK11",1000233759,Right,TestK,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.36452,-1.491025,-2.863705,1835.468747,247.891193,2:15,5.78343,1.45389,6.07215,-37.21376,7.60792,15.54013,1.30058,0.09686,72.73414,-8.356165,-0.063878,0.481854,,,,,,,,,,,,-8.81615,4.67402,-1.24064,50,5.64778,5.15553,-113.86908,-4.06199,-11.68065,19.12613,-25.98139,ASH_UNI,TestK,AshlandUniversity,TeamExclusive,Team,20240928-AshlandUniversity-Private-1,f7c04b80-7db2-11ef-8393-85d47ffc108e,78.22377,,,5.63038,,,,,,,0c7fd7cb-bdf4-4166-a9b3-2da1be256861,2024-09-28,16:01:47.84,2024-09-28T12:01:47.8410000-04:00,2024-09-28T16:01:47.8410000Z,,v3,,test-11,,"Peltz, Ben",1000370416,Right,ASH_UNI,e038520d-ed34-4471-9f0d-82d0b8d31b65,54.42835,-114.61048,9.56307,5.78571,-3.05486,-12.99069,-1.44926,5.60831,-5.84032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,240.935607,10.00207,1807.572334,0.984801,2:00,-0.174939,-0.865018,-0.470256,-66.508277,-45.794278,89.651235,143.557366,70.213884,0.201081,0.940963,-0.272315,73.859538,11.600172,0.940963,0.201081,0.272315,-73.859538,-11.600172,-0.940963,-0.201081,0.272315,-143.557366,-70.213884,-0.201081,-0.940963,-0.272315
4,2024-09-28,12:02:01.91,2,3,"Hall, Matthew",1000370436,Right,ASH_UNI,"Test11, TestK11",1000233759,Right,TestK,Undefined,1,Top,1,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.57581,-0.276279,-2.993656,1876.296731,232.519942,1:45,5.79446,1.40975,6.14272,-25.75517,10.95823,12.87276,3.39254,-0.28643,79.63696,-5.095378,-0.675496,0.436097,,,,,,,,,,,,-7.38615,6.07981,-1.18783,50,5.76005,6.06052,-125.75692,-1.40435,-11.91222,23.80781,-22.36867,ASH_UNI,TestK,AshlandUniversity,TeamExclusive,Team,20240928-AshlandUniversity-Private-1,00107030-7db3-11ef-8393-85d47ffc108e,86.43123,,,6.93885,,,,,,,0c7fd7cb-bdf4-4166-a9b3-2da1be256861,2024-09-28,16:02:01.91,2024-09-28T12:02:01.9130000-04:00,2024-09-28T16:02:01.9130000Z,,v3,,test-11,,"Peltz, Ben",1000370416,Right,ASH_UNI,08fc6481-7a9f-49f5-84a2-649512cb5172,54.35481,-126.57867,11.90391,5.79519,-0.63227,-11.18434,-1.40412,6.47168,-5.95611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,221.880968,27.716727,1661.006468,0.885258,1:30,-0.496037,-0.593221,-0.634064,-72.0837,-57.560562,69.934932,151.712998,67.703927,0.17979,0.925236,-0.334088,70.146176,10.357519,0.925236,0.17979,0.334088,-70.146176,-10.357519,-0.925236,-0.17979,0.334088,-151.712998,-67.703927,-0.17979,-0.925236,-0.334088
5,2024-09-28,12:02:16.08,2,4,"Hall, Matthew",1000370436,Right,ASH_UNI,"Test11, TestK11",1000233759,Right,TestK,Undefined,1,Top,1,2,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.10261,-1.824535,-2.827848,1799.810046,228.239696,1:30,5.75913,1.50712,6.0544,-23.69986,12.61953,12.95009,2.09268,-0.03336,80.46444,-6.246949,-0.498227,0.433751,,,,,,,,,,,,-7.41796,7.29638,-1.29428,50,5.60432,5.73992,-126.52062,-4.77271,-12.13787,23.52409,-20.23513,ASH_UNI,TestK,AshlandUniversity,TeamExclusive,Team,20240928-AshlandUniversity-Private-1,0888b650-7db3-11ef-8393-85d47ffc108e,86.89879,,,6.63817,,,,,,,0c7fd7cb-bdf4-4166-a9b3-2da1be256861,2024-09-28,16:02:16.08,2024-09-28T12:02:16.0810000-04:00,2024-09-28T16:02:16.0810000Z,,v3,,test-11,,"Peltz, Ben",1000370416,Right,ASH_UNI,55291f25-820b-416e-b4aa-e788bfa384f0,54.44498,-127.3444,11.76205,5.75905,-4.06411,-10.11757,-1.50273,6.16497,-6.06894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,224.644818,22.979306,1656.987766,0.920646,1:30,-0.401468,-0.659049,-0.635986,-53.645412,-59.882082,73.753642,158.080424,67.534332,0.142651,0.924109,-0.354505,69.012265,8.201269,0.924109,0.142651,0.354505,-69.012265,-8.201269,-0.924109,-0.142651,0.354505,-158.080424,-67.534332,-0.142651,-0.924109,-0.354505
6,2024-09-28,12:02:35.22,2,5,"Hall, Matthew",1000370436,Right,ASH_UNI,"Test11, TestK11",1000233759,Right,TestK,Undefined,1,Top,1,2,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,2,0,,81.75671,-0.841003,-3.627442,1876.691017,247.464417,2:15,5.67087,1.37349,6.27648,-33.26514,8.00528,16.12906,2.12198,-0.63049,74.95517,-7.047006,-0.715569,0.462371,79.12182,-17.479958,-20.460518,,,,,7.79245,7.79245,-11.299474,0.059138,-9.43693,4.77756,-1.11314,50,5.59245,6.93986,-118.66086,-2.72038,-13.44687,22.83425,-25.36642,ASH_UNI,TestK,AshlandUniversity,TeamExclusive,Team,20240928-AshlandUniversity-Private-1,13fa8d60-7db3-11ef-8393-85d47ffc108e,81.51989,2.066,,6.80154,,,,1.49476,2.066,0.76648,0c7fd7cb-bdf4-4166-a9b3-2da1be256861,2024-09-28,16:02:35.22,2024-09-28T12:02:35.2220000-04:00,2024-09-28T16:02:35.2220000Z,GroundBall,v3,,test-11,,"Peltz, Ben",1000370416,Right,ASH_UNI,687c0390-1d52-408e-8f6e-7402a359e099,54.22263,-119.47066,11.41713,5.67298,-1.82077,-12.68321,-1.36772,7.41675,-6.72343,180,1.49254,103.93682,,,,,,,,2.06675,-34.93513,,,,,,,,0.76731,-38.77877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,240.996878,16.204877,1802.129958,0.96027,2:00,-0.295639,-0.843851,-0.447786,-69.561585,-36.842628,86.455473,167.44414,73.172859,0.062932,0.957182,-0.282562,73.553301,3.608098,0.957182,0.062932,0.282562,-73.553301,-3.608098,-0.957182,-0.062932,0.282562,-167.44414,-73.172859,-0.062932,-0.957182,-0.282562
7,2024-09-28,12:03:07.24,3,1,"Hall, Matthew",1000370436,Right,ASH_UNI,"Test12, TestK12",1000233760,Left,TestK,Undefined,1,Top,2,0,0,ChangeUp,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.37922,-1.627808,-1.618849,2094.798185,166.240946,11:30,5.86464,1.38013,5.93168,-31.57061,13.07394,-2.82736,1.72253,-0.35779,72.37838,-7.512972,-2.126828,0.480901,,,,,,,,,,,,0.96567,7.64993,-1.24924,50,5.71687,3.35896,-115.15985,-4.1968,1.28494,23.20919,-21.99484,ASH_UNI,TestK,AshlandUniversity,TeamExclusive,Team,20240928-AshlandUniversity-Private-1,2707b810-7db3-11ef-8393-85d47ffc108e,78.3788,,,7.00083,,,,,,,0c7fd7cb-bdf4-4166-a9b3-2da1be256861,2024-09-28,16:03:07.24,2024-09-28T12:03:07.2420000-04:00,2024-09-28T16:03:07.2420000Z,,v3,,test-11,,"Peltz, Ben",1000370416,Right,ASH_UNI,11177ea0-69cf-4e71-aa5b-0e02cbdeae09,54.56487,-116.0762,11.6046,5.86542,-3.32839,-10.99742,-1.38086,3.30823,0.64247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,182.588262,73.447578,596.792259,0.284892,12:00,-0.965465,-0.04009,-0.25743,-117.785254,27.680126,5.496819,122.215364,-47.300438,0.573752,-0.73492,-0.361526,63.806233,-35.012309,0.73492,-0.573752,0.361526,-63.806233,35.012309,-0.73492,0.573752,0.361526,-122.215364,47.300438,-0.573752,0.73492,-0.361526
8,2024-09-28,12:03:22.09,3,2,"Hall, Matthew",1000370436,Right,ASH_UNI,"Test12, TestK12",1000233760,Left,TestK,Undefined,1,Top,2,0,1,ChangeUp,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.98154,0.026433,-0.471744,2116.17058,153.247015,11:00,5.96774,1.24647,5.83461,-34.70671,11.9719,-5.18776,3.10009,0.37568,70.4893,-6.462366,-1.402272,0.491734,,,,,,,,,,,,2.47618,6.61059,-1.20504,50,5.94986,1.13032,-113.0844,-0.97388,3.15802,23.53092,-23.74326,ASH_UNI,TestK,AshlandUniversity,TeamExclusive,Team,20240928-AshlandUniversity-Private-1,2fecf0d0-7db3-11ef-8393-85d47ffc108e,76.65209,,,7.49223,,,,,,,0c7fd7cb-bdf4-4166-a9b3-2da1be256861,2024-09-28,16:03:22.09,2024-09-28T12:03:22.0980000-04:00,2024-09-28T16:03:22.0980000Z,,v3,,test-11,,"Peltz, Ben",1000370416,Right,ASH_UNI,a13feef8-2fe7-4c0a-8d08-30a9e3334d81,54.6585,-114.04963,11.76546,5.96983,7E-05,-11.87163,-1.24875,1.00078,1.57901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,167.318012,77.518536,457.354742,0.216124,11:30,-0.978047,0.047898,-0.202805,53.096351,-49.057899,49.373785,127.922359,-46.134523,0.546643,-0.720969,-0.425893,59.428664,-33.137046,0.720969,-0.546643,0.425893,-59.428664,33.137046,-0.720969,0.546643,0.425893,-127.922359,46.134523,-0.546643,0.720969,-0.425893
9,2024-09-28,12:03:36.20,3,3,"Hall, Matthew",1000370436,Right,ASH_UNI,"Test12, TestK12",1000233760,Left,TestK,Undefined,1,Top,2,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.72543,0.004027,-1.704201,2035.547634,210.045851,1:00,5.93701,1.24899,6.06563,-21.29769,14.76414,7.88083,4.16594,0.32814,80.07549,-4.024302,-0.285784,0.43221,,,,,,,,,,,,-4.50382,7.94225,-1.12084,50,5.92587,3.46347,-127.41355,-0.62533,-7.40184,26.24183,-19.12135,ASH_UNI,TestK,AshlandUniversity,TeamExclusive,Team,20240928-AshlandUniversity-Private-1,3841a960-7db3-11ef-8393-85d47ffc108e,87.20854,,,7.64994,,,,,,,0c7fd7cb-bdf4-4166-a9b3-2da1be256861,2024-09-28,16:03:36.20,2024-09-28T12:03:36.2040000-04:00,2024-09-28T16:03:36.2040000Z,,v3,,test-11,,"Peltz, Ben",1000370416,Right,ASH_UNI,a129ee20-6f8f-4c03-8e8f-4b6cf6623ff0,54.42989,-128.32268,13.12092,5.93606,0.03712,-9.56067,-1.24527,3.7199,-3.70092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,216.506762,31.93406,1727.48256,0.848657,1:15,-0.549031,-0.504844,-0.666106,-38.483801,-8.830925,-35.846712,165.301892,10.185523,0.249727,0.176836,-0.952032,10.522534,14.46138,0.176836,0.249727,0.952032,-10.522534,-14.46138,-0.176836,-0.249727,0.952032,-165.301892,-10.185523,-0.249727,-0.176836,-0.952032
10,2024-09-28,12:03:51.47,3,4,"Hall, Matthew",1000370436,Right,ASH_UNI,"Test12, TestK12",1000233760,Left,TestK,Undefined,1,Top,2,2,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.84545,-1.988593,-4.085972,2026.40421,254.698438,2:30,5.67882,1.34969,6.26419,-36.13093,6.08615,17.41438,0.82908,-0.97263,74.49162,-8.682696,-0.941841,0.467644,,,,,,,,,,,,-10.27292,4.0639,-1.05541,50,5.5133,7.76828,-117.26276,-5.14121,-14.32246,21.90365,-26.50817,ASH_UNI,TestK,AshlandUniversity,TeamExclusive,Team,20240928-AshlandUniversity-Private-1,416598d0-7db3-11ef-8393-85d47ffc108e,80.60069,,,6.35383,,,,,,,0c7fd7cb-bdf4-4166-a9b3-2da1be256861,2024-09-28,16:03:51.47,2024-09-28T12:03:51.4700000-04:00,2024-09-28T16:03:51.4700000Z,,v3,,test-11,,"Peltz, Ben",1000370416,Right,ASH_UNI,bfa9e10a-229e-4c5f-ab82-f7a2903e8de1,54.23633,-118.05141,10.95182,5.68123,-4.18677,-13.25409,-1.3444,8.28397,-7.16123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,240.444689,9.089609,2000.957588,0.987442,2:00,-0.162457,-0.863921,-0.476705,72.30542,42.261173,-86.01539,153.085015,71.819376,0.141239,0.950078,-0.278216,73.678118,8.119523,0.950078,0.141239,0.278216,-73.678118,-8.119523,-0.950078,-0.141239,0.278216,-153.085015,-71.819376,-0.141239,-0.950078,-0.278216
