PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2024-09-30,16:27:29.53,1,1,"Huth, Hansen",10101731,Right,ASH_UNI,"Koons, Mason",1000370434,Right,ASH_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,Bunt,Error,0,0,,81.62089,-0.370753,-0.763388,2310.563228,205.893954,12:45,5.71734,1.15168,5.81886,-27.76143,14.12194,6.23296,3.05915,0.96131,74.93993,-5.55001,0.354156,0.465792,,,,,,,,,,,,-3.40248,7.7065,-1.09302,50,5.67056,1.3408,-118.60485,-1.61026,-4.86064,22.07131,-21.16485,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20240930-AshlandUniversity-Private-1,6a8ab1b0-7f6a-11ef-b882-fff4b6187d9b,80.92115,,,6.68095,,,,,,,300d83e1-adff-4200-b3a4-2e0c9896516e,2024-09-30,20:27:29.53,2024-09-30T16:27:29.5330038-04:00,2024-09-30T20:27:29.5330038Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,049ce73b-794b-4530-8b75-e9eb3c13ca76,54.67871,-119.47234,11.03565,5.7175,-0.77839,-10.58242,-1.14948,1.53184,-2.43032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,219.441526,45.921028,1607.341441,0.695649,1:15,-0.722601,-0.446579,-0.527651,-72.33062,-12.723726,-52.940954,168.552572,-12.534275,0.193738,-0.217024,-0.956748,12.780401,-11.171039,0.217024,-0.193738,0.956748,-12.780401,11.171039,-0.217024,0.193738,0.956748,-168.552572,12.534275,-0.193738,0.217024,-0.956748
2,2024-09-30,16:28:12.05,2,1,"Huth, Hansen",10101731,Right,ASH_UNI,"Shimek, Ryan",1000370441,Left,ASH_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.09618,-2.446244,-1.660795,2254.128595,220.243788,1:15,5.54388,1.30141,5.95276,-30.41958,10.88961,8.12741,0.73794,0.43804,75.63561,-8.078209,-0.198701,0.462589,,,,,,,,,,,,-4.64603,6.64989,-1.17403,50,5.3322,3.14867,-119.1809,-6.02718,-6.69574,22.4779,-22.59035,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20240930-AshlandUniversity-Private-1,83e923d0-7f6a-11ef-b882-fff4b6187d9b,81.48156,,,6.46056,,,,,,,300d83e1-adff-4200-b3a4-2e0c9896516e,2024-09-30,20:28:12.05,2024-09-30T16:28:12.0510000-04:00,2024-09-30T20:28:12.0510000Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,93a136a4-7b58-4517-8809-f27965696ccc,54.54533,-120.03511,11.23895,5.54493,-5.1687,-11.29518,-1.29852,3.40312,-3.34787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,225.664795,42.260263,1668.275347,0.740098,1:30,-0.66401,-0.557586,-0.498186,-72.364338,-29.708054,-47.853833,163.897998,-7.774089,0.274799,-0.135268,-0.951939,8.087405,-15.950045,0.135268,-0.274799,0.951939,-8.087405,15.950045,-0.135268,0.274799,0.951939,-163.897998,7.774089,-0.274799,0.135268,-0.951939
3,2024-09-30,16:28:34.04,2,2,"Huth, Hansen",10101731,Right,ASH_UNI,"Shimek, Ryan",1000370441,Left,ASH_UNI,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,72.94099,-0.757895,-3.087202,1625.444939,250.316542,2:15,5.34374,1.43688,5.90747,-44.56148,8.31441,18.2319,0.92575,0.08792,66.77078,-8.993739,0.187213,0.52336,,,,,,,,,,,,-10.28316,5.00965,-1.19943,50,5.25745,5.07975,-105.79075,-2.65843,-11.57124,19.23949,-26.53688,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20240930-AshlandUniversity-Private-1,910db3f0-7f6a-11ef-b882-fff4b6187d9b,72.02015,,,6.17021,,,,,,,300d83e1-adff-4200-b3a4-2e0c9896516e,2024-09-30,20:28:34.04,2024-09-30T16:28:34.0470000-04:00,2024-09-30T20:28:34.0470000Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,c73307d0-95df-4e64-a639-fb6246d2c480,54.59042,-106.62232,9.61974,5.34757,-1.51146,-13.26844,-1.42979,5.57988,-5.78562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,246.066793,16.329286,1559.877268,0.959662,2:15,-0.290106,-0.880791,-0.374227,-50.803739,69.281641,-7.057083,162.285436,-19.980542,0.28596,-0.341701,-0.895247,20.891032,-16.616271,0.341701,-0.28596,0.895247,-20.891032,16.616271,-0.341701,0.28596,0.895247,-162.285436,19.980542,-0.28596,0.341701,-0.895247
4,2024-09-30,16:29:08.15,2,3,"Huth, Hansen",10101731,Right,ASH_UNI,"Shimek, Ryan",1000370441,Left,ASH_UNI,Undefined,1,Top,0,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.51695,-0.387503,-0.453422,2342.945224,209.368204,1:00,5.71014,1.32446,5.8616,-28.55962,14.57194,7.4278,2.97017,1.5222,73.681,-5.727907,0.879483,0.472682,,,,,,,,,,,,-3.92193,7.97894,-1.29202,50,5.66217,0.64054,-116.95487,-1.6372,-5.42737,22.24101,-21.13239,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20240930-AshlandUniversity-Private-1,a55bea20-7f6a-11ef-b882-fff4b6187d9b,79.74167,,,6.83595,,,,,,,300d83e1-adff-4200-b3a4-2e0c9896516e,2024-09-30,20:29:08.15,2024-09-30T16:29:08.1520000-04:00,2024-09-30T20:29:08.1520000Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,677442ef-f040-43a7-83ad-89b530020dd4,54.63462,-117.83293,11.12051,5.71033,-0.80291,-10.56619,-1.32154,0.85481,-2.71368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,219.708113,42.070008,1739.230738,0.742327,1:15,-0.671314,-0.478776,-0.565784,-68.888524,-13.341135,-48.777179,167.59304,-11.567884,0.21049,-0.200529,-0.956808,11.836782,-12.151058,0.200529,-0.21049,0.956808,-11.836782,12.151058,-0.200529,0.21049,0.956808,-167.59304,11.567884,-0.21049,0.200529,-0.956808
5,2024-09-30,16:29:27.55,2,4,"Huth, Hansen",10101731,Right,ASH_UNI,"Shimek, Ryan",1000370441,Left,ASH_UNI,Undefined,1,Top,0,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,71.48755,1.816434,-1.026163,1337.299798,239.193416,2:00,5.32173,1.70325,5.86848,-47.05506,7.60099,9.91686,3.08854,1.57638,65.63788,-6.889689,0.752979,0.532097,,,,,,,,,,,,-5.355,3.89933,-1.62599,50,5.44149,1.52307,-103.81539,1.97591,-5.84929,17.23679,-27.91479,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20240930-AshlandUniversity-Private-1,b0e9fbc0-7f6a-11ef-b882-fff4b6187d9b,70.83757,,,5.84967,,,,,,,300d83e1-adff-4200-b3a4-2e0c9896516e,2024-09-30,20:29:27.55,2024-09-30T16:29:27.5550000-04:00,2024-09-30T20:29:27.5550000Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,2ea701ce-fdf8-4fe8-bc86-21f7752bf9bb,54.62892,-104.58112,8.6184,5.32616,3.216,-13.9574,-1.69942,1.78292,-2.92465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.343,2.496256,0.79191,1.704346,-0.3006,2.87635,-1.59981,-1.75991,6.19401,-1.54943,127.27919,6.15759,0.66374,-1.49017,85.50656,-5.83591,6.41007,24.56526,-14.49405,-1.40811,4.52852,-1.94158,High,High,High,,,High,High,High,250.009301,22.31315,1237.166271,0.925123,2:15,-0.412634,-0.856911,-0.308929,-69.83239,-17.052723,-61.839479,153.147671,9.596441,0.445372,0.166708,-0.879689,10.73072,26.447126,0.166708,0.445372,0.879689,-10.73072,-26.447126,-0.166708,-0.445372,0.879689,-153.147671,-9.596441,-0.445372,-0.166708,-0.879689
6,2024-09-30,16:29:53.71,2,5,"Huth, Hansen",10101731,Right,ASH_UNI,"Shimek, Ryan",1000370441,Left,ASH_UNI,Undefined,1,Top,0,3,1,Fastball,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,82.46499,0.815557,0.599688,2305.498616,204.513381,12:45,5.7646,1.346,6.15981,-24.08726,16.30273,6.89587,4.51082,2.47466,75.77981,-3.731809,1.843068,0.457413,,,,,,,,,,,,-3.3928,8.58315,-1.39481,50,5.81394,-1.51718,-119.89496,1.03767,-4.96932,21.8286,-19.60263,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20240930-AshlandUniversity-Private-1,c06a5630-7f6a-11ef-b882-fff4b6187d9b,82.40357,,,6.68519,,,,,,,300d83e1-adff-4200-b3a4-2e0c9896516e,2024-09-30,20:29:53.71,2024-09-30T16:29:53.7130000-04:00,2024-09-30T20:29:53.7130000Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,32a9f751-dd8c-44ee-9ed1-75929ebea248,54.3365,-120.6819,10.9143,5.7638,1.74436,-9.80131,-1.34334,-1.33803,-2.48466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,221.667549,38.887298,1794.559413,0.778382,1:30,-0.628972,-0.508486,-0.588078,-51.4874,26.475206,-36.687768,175.27563,-0.357376,0.082361,-0.006237,-0.996583,0.358594,-4.724278,0.006237,-0.082361,0.996583,-0.358594,4.724278,-0.006237,0.082361,0.996583,-175.27563,0.357376,-0.082361,0.006237,-0.996583
7,2024-09-30,16:31:20.11,3,1,"Huth, Hansen",10101731,Right,ASH_UNI,"Weaver, Gage",1000370420,Right,ASH_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.67837,-0.027954,-2.946129,2146.263479,221.607536,1:30,5.66414,1.454,5.85758,-33.19431,11.8326,9.29859,2.87194,-0.51067,72.3884,-6.188942,-1.280641,0.482956,45.68123,38.833394,172.785686,3072.096024,,,,106.83229,50.42984,175.995128,2.309131,-5.57351,6.46414,-1.22043,50,5.64238,5.54027,-114.23455,-1.04531,-7.39886,20.1328,-23.59288,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20240930-AshlandUniversity-Private-1,f3fe1270-7f6a-11ef-b882-fff4b6187d9b,78.04528,25.19679,,6.28997,,,,1.78442,2.95819,0.51524,300d83e1-adff-4200-b3a4-2e0c9896516e,2024-09-30,20:31:20.11,2024-09-30T16:31:20.1154294-04:00,2024-09-30T20:31:20.1154294Z,GroundBall,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,1a81a9e7-b0af-4ad2-a398-9dfc039e36df,54.64106,-115.04959,10.0664,5.66537,-0.0902,-11.79644,-1.45078,5.8398,-3.69943,326.70169,1.78443,-51.77821,1.74633,0.1206,0.1715,-0.29513,0.21073,-0.06672,0.00781,2.95821,42.01213,-21.30314,1.69585,-0.39637,0.13174,-0.07191,0.02617,-0.00359,0.51525,6.55475,-2.73088,0.83035,-0.25387,0.13165,-0.07774,0.02665,-0.00349,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,221.441369,39.090401,1665.826802,0.776152,1:30,-0.659366,-0.514006,-0.548665,-64.828058,-28.925195,-50.729661,163.550553,-4.049522,0.282462,-0.070619,-0.956676,4.221731,-16.407217,0.070619,-0.282462,0.956676,-4.221731,16.407217,-0.070619,0.282462,0.956676,-163.550553,4.049522,-0.282462,0.070619,-0.956676
8,2024-09-30,16:32:13.73,3,2,"Huth, Hansen",10101731,Right,ASH_UNI,"Weaver, Gage",1000370420,Right,ASH_UNI,Undefined,1,Top,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.15657,2.312597,-5.503648,2080.06835,228.610109,1:30,5.4532,1.68936,6.02379,-35.32403,10.55505,10.34162,4.66245,-2.56183,71.27764,-4.26513,-3.658557,0.487505,,,,,,,,,,,,-6.8263,5.22024,-1.2631,50,5.61582,10.50895,-112.98158,3.56326,-8.83375,20.36027,-25.41868,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20240930-AshlandUniversity-Private-1,13f6e2f0-7f6b-11ef-b882-fff4b6187d9b,77.31708,,,6.87893,,,,,,,300d83e1-adff-4200-b3a4-2e0c9896516e,2024-09-30,20:32:13.73,2024-09-30T16:32:13.7320000-04:00,2024-09-30T20:32:13.7320000Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,bc0ebff6-c3e6-4b86-8d49-66fedc3b700b,54.47332,-113.78486,10.18013,5.45545,4.56611,-12.70934,-1.68459,10.85747,-4.41687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.46576,,0.688742,,-0.34079,4.52736,2.67327,0.65353,5.89539,3.45913,,,,0.75148,104.57627,-8.26542,5.92717,10.3042,-12.7259,3.4447,-3.01771,0.98168,High,High,High,,,High,High,High,233.671266,34.247528,1719.413677,0.826614,1:45,-0.633433,-0.642695,-0.430935,-67.046958,-45.280722,-59.972094,172.064369,-5.548535,0.137414,-0.096689,-0.985783,5.601843,-7.898212,0.096689,-0.137414,0.985783,-5.601843,7.898212,-0.096689,0.137414,0.985783,-172.064369,5.548535,-0.137414,0.096689,-0.985783
9,2024-09-30,16:32:35.68,3,3,"Huth, Hansen",10101731,Right,ASH_UNI,"Weaver, Gage",1000370420,Right,ASH_UNI,Undefined,1,Top,0,1,1,Fastball,Changeup,BallIntentional,Undefined,Undefined,Undefined,0,0,,76.83119,3.383549,-5.026739,2206.954626,214.948299,1:15,5.51419,1.56825,5.88793,-35.39533,12.1752,7.51709,5.72211,-2.48482,70.22586,-3.19289,-3.688481,0.49641,,,,,,,,,,,,-5.16504,5.76311,-1.16645,50,5.76781,9.49467,-111.05357,5.57128,-6.4845,18.89991,-24.93868,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20240930-AshlandUniversity-Private-1,210d9060-7f6b-11ef-b882-fff4b6187d9b,75.93005,,,6.60533,,,,,,,300d83e1-adff-4200-b3a4-2e0c9896516e,2024-09-30,20:32:35.68,2024-09-30T16:32:35.6880000-04:00,2024-09-30T20:32:35.6880000Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,356ff2c3-e0c1-461b-9c49-faaf25f0a07a,54.60904,-111.83521,9.44996,5.51607,6.60268,-12.46934,-1.56467,9.76285,-3.24225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.7982,,0.695142,,-0.18118,5.6297,2.58726,0.49668,6.06612,3.43095,,,,0.58793,105.27095,-8.18585,6.08662,9.17954,-12.03638,3.38811,-2.14738,2.95279,High,High,High,,,High,High,High,226.61192,39.9697,1691.375308,0.766384,1:30,-0.717669,-0.518061,-0.465364,-64.553894,-23.695543,-57.548792,172.009746,-1.394365,0.138963,-0.024334,-0.989998,1.408029,-7.987873,0.024334,-0.138963,0.989998,-1.408029,7.987873,-0.024334,0.138963,0.989998,-172.009746,1.394365,-0.138963,0.024334,-0.989998
10,2024-09-30,16:33:00.35,3,4,"Huth, Hansen",10101731,Right,ASH_UNI,"Weaver, Gage",1000370420,Right,ASH_UNI,Undefined,1,Top,0,2,1,Fastball,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.8171,1.064073,-3.706407,2262.474835,211.981459,1:00,5.42175,1.75351,5.99647,-32.25411,10.21292,5.59599,3.72209,-1.21945,74.30738,-4.934375,-2.703676,0.469027,,,,,,,,,,,,-3.8613,5.3454,-1.46457,50,5.48777,7.39041,-117.26677,1.21365,-5.40995,20.89478,-24.68475,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20240930-AshlandUniversity-Private-1,2fc4ce70-7f6b-11ef-b882-fff4b6187d9b,80.36312,,,6.50972,,,,,,,300d83e1-adff-4200-b3a4-2e0c9896516e,2024-09-30,20:33:00.35,2024-09-30T16:33:00.3549942-04:00,2024-09-30T20:33:00.3549942Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,d73537d6-a6fd-4312-b70c-b97dafd57765,54.50215,-118.06624,10.44739,5.42326,2.15814,-12.34238,-1.7513,7.59741,-2.70497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,224.024325,41.326038,1699.037414,0.750964,1:30,-0.703426,-0.50954,-0.495541,-29.269887,66.432595,1.643803,170.370116,-0.442159,0.167278,-0.007717,-0.98588,0.448478,-9.629595,0.007717,-0.167278,0.98588,-0.448478,9.629595,-0.007717,0.167278,0.98588,-170.370116,0.442159,-0.167278,0.007717,-0.98588
