PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2024-10-02,16:15:55.96,1,1,"Hall, Matthew",1000370436,Right,ASH_UNI,"Miller, Cameron",10005975,Left,ASH_UNI,Undefined,1,Top,0,2,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.45802,-3.392567,-2.988728,1904.033292,219.498798,1:15,5.79582,1.56657,5.67108,-25.50053,14.16658,10.61729,0.49982,-0.33763,77.53922,-8.113551,-1.091979,0.453301,,,,,,,,,,,,-6.28717,8.53532,-1.32122,50,5.49287,5.96502,-122.33055,-8.07686,-9.52557,24.16932,-19.24232,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241002-AshlandUniversity-Private-1,21fbee40-80fb-11ef-a3d1-bf7d55a0f452,83.15103,,,6.9188,,,,,,,ea8d61a8-5f8e-441a-87ec-81a8b0136423,2024-10-02,20:15:55.96,2024-10-02T16:15:55.9610000-04:00,2024-10-02T20:15:55.9610000Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,9f930d54-6dcb-4dd2-a516-90c5263b3740,54.82772,-123.28069,12.08466,5.79552,-7.32041,-9.62116,-1.56308,6.33949,-4.76279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.02053,,,1.345728,,,,-1.52494,6.12634,2.15428,127.27888,-0.32081,-0.81465,-1.3911,106.44521,-8.12449,6.15087,11.07935,-11.82366,2.11085,-5.02775,2.1448,High,High,High,,,High,High,High,220.493075,20.753274,1780.490018,0.935115,1:15,-0.354436,-0.627127,-0.693604,-53.344649,-60.320008,74.946328,160.932899,71.44567,0.103949,0.948022,-0.300746,72.399142,5.966634,0.948022,0.103949,0.300746,-72.399142,-5.966634,-0.948022,-0.103949,0.300746,-160.932899,-71.44567,-0.103949,-0.948022,-0.300746
2,2024-10-02,16:16:29.61,1,2,"Hall, Matthew",1000370436,Right,ASH_UNI,"Miller, Cameron",10005975,Left,ASH_UNI,Undefined,1,Top,0,3,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.33747,-1.075966,-1.640878,1869.560807,233.378898,1:45,5.76573,1.553,5.745,-28.40139,9.9954,11.88473,2.39667,1.01528,78.52159,-6.334088,0.487502,0.445984,77.23561,41.008242,-74.708636,4850.718666,,,,,84.24348,,,-6.51378,5.73079,-1.42409,50,5.65888,3.07007,-123.97481,-3.26866,-10.1817,23.78095,-23.21623,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241002-AshlandUniversity-Private-1,360ef030-80fb-11ef-a3d1-bf7d55a0f452,84.51529,59.16543,,6.81588,,,,0.84066,2.33238,-1.0203,ea8d61a8-5f8e-441a-87ec-81a8b0136423,2024-10-02,20:16:29.61,2024-10-02T16:16:29.6140000-04:00,2024-10-02T20:16:29.6140000Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,9c9e568f-4d2b-4e17-927a-bcd75aa7f370,54.75355,-124.88331,11.89048,5.76682,-2.38174,-11.60812,-1.54881,3.45904,-5.09085,,0.84066,22.54392,-9.82612,1.7063,-0.35173,0.06845,-0.0151,0.00274,-0.00028,2.33238,74.32982,-22.83892,2.43328,-0.52854,0.11176,-0.02246,0.00426,-0.00046,-1.0203,-82.45553,9.20414,-1.86095,0.39923,-0.07998,0.01711,-0.00314,0.00033,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,220.933314,28.243511,1646.979003,0.880944,1:15,-0.481166,-0.585962,-0.652019,-74.153338,-56.256373,77.523777,165.589126,66.615539,0.098778,0.917862,-0.384411,67.275523,5.66879,0.917862,0.098778,0.384411,-67.275523,-5.66879,-0.917862,-0.098778,0.384411,-165.589126,-66.615539,-0.098778,-0.917862,-0.384411
3,2024-10-02,16:16:58.46,1,3,"Hall, Matthew",1000370436,Right,ASH_UNI,"Miller, Cameron",10005975,Left,ASH_UNI,Undefined,1,Top,0,3,1,ChangeUp,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,75.49577,-0.202379,-0.076075,1957.58392,142.443186,10:45,5.86576,1.42677,5.7318,-45.2164,3.85567,-1.82969,1.90926,1.20345,69.77854,-8.492292,-0.404091,0.504183,,,,,,,,,,,,0.90858,2.5011,-1.41931,50,5.82122,0.21256,-109.71681,-1.78144,1.11177,18.71809,-29.11369,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241002-AshlandUniversity-Private-1,4746e5b0-80fb-11ef-a3d1-bf7d55a0f452,74.75939,,,5.71722,,,,,,,ea8d61a8-5f8e-441a-87ec-81a8b0136423,2024-10-02,20:16:58.46,2024-10-02T16:16:58.4630000-04:00,2024-10-02T20:16:58.4630000Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,4092ec8d-d69b-48bd-b027-a9488bf34174,54.76566,-110.52686,9.35905,5.87105,-0.52151,-14.55685,-1.42747,0.16444,0.55588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,164.890534,76.561119,454.958106,0.232408,11:30,-0.973123,0.057145,-0.223082,75.202659,42.686445,26.772027,144.665302,35.887933,0.46856,0.586202,-0.660923,41.571251,27.940892,0.586202,0.46856,0.660923,-41.571251,-27.940892,-0.586202,-0.46856,0.660923,-144.665302,-35.887933,-0.46856,-0.586202,-0.660923
4,2024-10-02,16:17:27.19,1,4,"Hall, Matthew",1000370436,Right,ASH_UNI,"Franks, Chris",1000095644,Right,ASH_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.78681,-2.54462,-2.219779,1921.799223,232.836149,1:45,5.79429,1.47743,5.77216,-24.33332,14.18253,16.9441,1.39528,0.82279,78.01074,-7.095518,0.815569,0.446674,58.60618,29.411607,-132.719603,3632.354359,,,,125.31838,57.60669,-139.68658,2.038989,-9.3404,8.39855,-1.30447,50,5.56926,4.12411,-124.3366,-6.2953,-14.49121,27.00963,-19.14404,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241002-AshlandUniversity-Private-1,585b74b0-80fb-11ef-a3d1-bf7d55a0f452,84.38459,20.67779,,7.77607,,,,1.65967,1.33539,-0.82291,ea8d61a8-5f8e-441a-87ec-81a8b0136423,2024-10-02,20:17:27.19,2024-10-02T16:17:27.1950000-04:00,2024-10-02T20:17:27.1950000Z,LineDrive,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,1c8dce0b-53d3-4353-ac28-efc7925a2584,54.72521,-125.35885,13.50482,5.79381,-5.57074,-9.57202,-1.47094,4.67258,-7.24561,,1.6597,-50.80035,0.34265,0.72551,0.11479,-0.35661,0.26603,-0.09028,0.01165,1.33539,42.21092,-25.368,2.98131,-0.64694,0.18653,-0.07253,0.02648,-0.00425,-0.82283,-55.01796,8.18115,-0.70392,0.92366,-1.08163,0.73332,-0.24865,0.03267,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,216.272629,29.736119,1668.734796,0.868319,1:15,-0.499469,-0.535237,-0.681214,-63.516392,-54.998765,75.611349,174.623805,-67.911085,0.035233,-0.926601,-0.374391,67.998963,-2.019144,0.926601,-0.035233,0.374391,-67.998963,2.019144,-0.926601,0.035233,0.374391,-174.623805,67.911085,-0.035233,0.926601,-0.374391
5,2024-10-02,16:17:55.64,1,5,"Hall, Matthew",1000370436,Right,ASH_UNI,"Franks, Chris",1000095644,Left,ASH_UNI,Undefined,1,Top,0,2,1,ChangeUp,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.82798,-1.197325,-1.093636,1847.895642,142.711392,10:45,5.87829,1.4405,5.65877,-40.99868,7.40311,-4.32044,1.34483,0.06049,69.84947,-8.755084,-1.866943,0.500728,,,,,,,,,,,,1.83642,4.66559,-1.34523,50,5.75141,2.29017,-111.37489,-3.59835,2.27323,22.71054,-26.39873,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241002-AshlandUniversity-Private-1,695835f0-80fb-11ef-a3d1-bf7d55a0f452,75.27522,,,6.97851,,,,,,,ea8d61a8-5f8e-441a-87ec-81a8b0136423,2024-10-02,20:17:55.64,2024-10-02T16:17:55.6450000-04:00,2024-10-02T20:17:55.6450000Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,66d906c1-e560-42a0-a52f-fdf6a48fd5fb,54.83593,-112.35666,11.35527,5.8823,-2.45715,-13.19936,-1.44211,2.1919,1.13661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,154.763619,78.325138,373.935834,0.202358,11:15,-0.984216,0.065794,-0.164289,85.773637,42.56346,33.995579,144.577927,36.97754,0.463022,0.601502,-0.651004,42.736712,27.582282,0.601502,0.463022,0.651004,-42.736712,-27.582282,-0.601502,-0.463022,0.651004,-144.577927,-36.97754,-0.463022,-0.601502,-0.651004
6,2024-10-02,16:18:20.64,1,6,"Hall, Matthew",1000370436,Right,ASH_UNI,"Howard, Billy",1000076893,Right,ASH_UNI,Undefined,1,Top,0,2,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.21611,-1.561529,-1.67132,2022.140468,144.324945,10:45,5.87175,1.36904,5.75975,-39.25723,8.18146,-4.72949,1.14592,-0.58114,70.70175,-8.791243,-2.518958,0.495722,54.11094,56.966121,64.434355,4651.610828,,,,126.16905,76.43518,76.912682,3.879667,1.91524,5.10957,-1.22764,50,5.7186,3.44272,-112.00751,-4.25037,2.41433,21.68972,-25.73299,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241002-AshlandUniversity-Private-1,782fcd40-80fb-11ef-a3d1-bf7d55a0f452,76.03551,59.6325,,6.51437,,,,0.83255,1.18296,0.54676,ea8d61a8-5f8e-441a-87ec-81a8b0136423,2024-10-02,20:18:20.64,2024-10-02T16:18:20.6440000-04:00,2024-10-02T20:18:20.6440000Z,Popup,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,d6bff372-6b00-4c4c-952a-c689c9fe2bf7,54.7368,-112.92105,10.84486,5.87479,-3.16655,-12.86649,-1.3705,3.34103,1.20716,209.502341,0.83649,18.53389,-7.40194,0.66651,1.84506,-1.45602,0.51051,-0.08652,0.00573,1.17807,66.66358,-22.08326,3.05429,-1.40225,0.52437,-0.10462,0.00857,-0.00011,0.5462,39.03794,-3.66091,0.69476,-0.01843,-0.07686,0.0376,-0.00759,0.00057,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,173.725903,74.662979,534.84854,0.264496,11:45,-0.972074,0.002615,-0.23466,-91.683175,-40.610644,46.361329,158.248541,41.345502,0.27821,0.660598,-0.697287,43.452286,16.153398,0.660598,0.27821,0.697287,-43.452286,-16.153398,-0.660598,-0.27821,0.697287,-158.248541,-41.345502,-0.27821,-0.660598,-0.697287
7,2024-10-02,16:18:52.41,1,7,"Hall, Matthew",1000370436,Right,ASH_UNI,"Howard, Billy",1000076893,Right,ASH_UNI,Undefined,1,Top,0,2,2,Fastball,Changeup,InPlay,Undefined,GroundBall,FieldersChoice,0,0,,86.01554,-1.101701,-2.948605,1904.101672,235.29284,1:45,5.64095,1.62139,5.98247,-25.60966,12.77103,16.3491,2.48419,0.24839,77.27428,-5.938498,-0.011839,0.44589,,,,,,,,,,,,-9.34485,7.3387,-1.39725,50,5.53993,5.74133,-124.58694,-3.18133,-14.40225,29.56862,-20.86364,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241002-AshlandUniversity-Private-1,8b243fd0-80fb-11ef-a3d1-bf7d55a0f452,84.53303,,,8.74126,,,,,,,ea8d61a8-5f8e-441a-87ec-81a8b0136423,2024-10-02,20:18:52.41,2024-10-02T16:18:52.4180000-04:00,2024-10-02T20:18:52.4180000Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,9f85dbc8-3ecc-4033-a55f-7640cbf37daa,54.51236,-125.65331,14.78431,5.6411,-2.42889,-10.43182,-1.61367,6.26073,-7.20112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,221.1169,29.839484,1651.661147,0.867423,1:15,-0.519484,-0.579876,-0.627598,-71.979437,-46.302814,70.439628,178.4594,-72.066214,0.008278,-0.951413,-0.307806,72.072282,-0.474326,0.951413,-0.008278,0.307806,-72.072282,0.474326,-0.951413,0.008278,0.307806,-178.4594,72.066214,-0.008278,0.951413,-0.307806
8,2024-10-02,16:19:25.19,2,1,"Hall, Matthew",1000370436,Right,ASH_UNI,"Cangelosi, Jeremiah",1000099336,Right,ASH_UNI,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.90698,1.002133,0.408182,2033.605691,93.284332,9:00,5.83667,1.4073,5.68618,-48.59888,2.27189,-7.97622,2.72092,1.12307,67.88986,-7.962856,-1.019664,0.513341,,,,,,,,,,,,4.26126,1.20539,-1.43626,50,5.89022,-0.49357,-108.67834,0.43422,5.00882,22.10031,-30.75721,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241002-AshlandUniversity-Private-1,9eb5dcc0-80fb-11ef-a3d1-bf7d55a0f452,73.42579,,,7.01712,,,,,,,ea8d61a8-5f8e-441a-87ec-81a8b0136423,2024-10-02,20:19:25.19,2024-10-02T16:19:25.1990000-04:00,2024-10-02T20:19:25.1990000Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,fa5e8443-9be4-4542-986e-9521fb5152cb,54.81274,-109.65267,11.05015,5.84119,1.7902,-15.37861,-1.40964,-0.71439,2.50441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,140.313334,76.003801,491.842839,0.241858,10:45,-0.966112,0.171394,-0.193008,-75.947275,-43.644871,23.562172,156.073753,46.40715,0.279646,0.724258,-0.630277,48.968971,16.23906,0.724258,0.279646,0.630277,-48.968971,-16.23906,-0.724258,-0.279646,0.630277,-156.073753,-46.40715,-0.279646,-0.724258,-0.630277
9,2024-10-02,16:19:42.83,2,2,"Hall, Matthew",1000370436,Right,ASH_UNI,"Cangelosi, Jeremiah",1000099336,Right,ASH_UNI,Undefined,1,Top,0,1,0,Slider,Curveball,InPlay,Undefined,GroundBall,FieldersChoice,0,0,,75.46641,0.756138,-1.167496,2011.260482,112.366317,9:45,5.80975,1.33485,5.795,-45.74589,4.18528,-5.85087,2.7011,-0.23882,68.39517,-7.708624,-2.216324,0.508578,87.09224,2.156772,-33.656727,3738.413831,,,,58.5724,55.56335,-34.651149,0.476983,2.6139,2.38457,-1.23527,50,5.84471,2.44269,-109.45603,0.06963,3.11974,22.23785,-29.328,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241002-AshlandUniversity-Private-1,a9351670-80fb-11ef-a3d1-bf7d55a0f452,74.11343,2.93711,,7.07124,,,,1.8424,2.68691,0.17849,ea8d61a8-5f8e-441a-87ec-81a8b0136423,2024-10-02,20:19:42.83,2024-10-02T16:19:42.8350000-04:00,2024-10-02T20:19:42.8350000Z,GroundBall,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,50c4800c-bae1-4492-86d3-1917477cdd1d,54.70131,-110.40705,11.11893,5.81491,1.32386,-14.664,-1.33688,2.30927,1.55987,64.146477,1.85551,105.87982,-18.40556,,,,,,,2.7007,4.41921,-21.19295,,,,,,,0.18432,-70.90818,1.44734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,138.084002,77.848672,423.359095,0.210494,10:30,-0.978643,0.153508,-0.136722,81.973604,49.561584,23.950252,145.479353,39.775287,0.435545,0.639778,-0.633233,45.29458,25.819987,0.639778,0.435545,0.633233,-45.29458,-25.819987,-0.639778,-0.435545,0.633233,-145.479353,-39.775287,-0.435545,-0.639778,-0.633233
10,2024-10-02,16:20:16.25,3,1,"Hall, Matthew",1000370436,Right,ASH_UNI,"Scott, Cameron",1000370417,Right,ASH_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.66821,-1.722226,-3.769634,1920.20714,242.618483,2:00,5.66226,1.58737,6.08715,-29.40813,8.71477,14.3406,1.6145,-0.70974,78.08529,-7.205247,-1.190523,0.44439,,,,,,,,,,,,-8.53811,5.3826,-1.30383,50,5.51361,7.61724,-124.15615,-4.66476,-13.24148,26.34969,-23.82636,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241002-AshlandUniversity-Private-1,bd176b70-80fb-11ef-a3d1-bf7d55a0f452,84.81836,,,7.58292,,,,,,,ea8d61a8-5f8e-441a-87ec-81a8b0136423,2024-10-02,20:20:16.25,2024-10-02T16:20:16.2520000-04:00,2024-10-02T20:20:16.2520000Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,80fbd2f2-bedb-4bd1-9274-1e30deae04f2,54.41072,-125.08873,13.17484,5.66378,-3.82148,-11.91318,-1.58171,8.08589,-6.62074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,219.909171,27.067961,1709.881853,0.890467,1:15,-0.481632,-0.584717,-0.652792,-76.831987,-43.635686,75.94201,166.746234,-71.02478,0.074547,-0.945659,-0.316498,71.495361,-4.275218,0.945659,-0.074547,0.316498,-71.495361,4.275218,-0.945659,0.074547,0.316498,-166.746234,71.02478,-0.074547,0.945659,-0.316498
