PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2024-10-11,15:33:20.82,1,1,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Dobbels, Gavin",10067727,Right,ASH_UNI,Undefined,1,Top,0,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,75.49792,1.095253,1.390435,1350.401747,111.732286,9:45,4.89114,-1.18476,6.02343,-40.39211,8.1376,-16.77741,2.53994,-1.29485,69.50572,-6.400764,-1.62883,0.501389,59.13829,1.51667,143.428798,2907.942372,,,,44.51647,44.21758,142.315163,0.564634,9.09587,4.29677,1.08544,50,4.95462,-2.09361,-109.76018,0.95053,11.13371,18.81185,-26.91462,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241011-AshlandUniversity-Private-1,acb66d40-8807-11ef-9b2d-a753a00dd5ee,75.17597,2.73485,,5.99221,,,,1.95641,2.63542,1.20334,e4870c6f-8438-4783-bdf9-f1349d8f4432,2024-10-11,19:33:20.82,2024-10-11T15:33:20.8291292-04:00,2024-10-11T19:33:20.8291292Z,GroundBall,v3,,,,"Peltz, Ben",1000370416,Right,ASH_UNI,367e8789-141b-44cc-be07-d77cff913c9e,54.47654,-110.52476,9.40593,4.89376,2.04443,-13.45731,1.17972,-2.54612,5.56686,,1.95641,-69.63473,6.81199,-0.21266,0.07809,-0.54604,1.06417,-1.06503,0.43965,2.63542,2.29573,-13.2634,1.8017,-0.23948,-0.22113,0.44974,-0.44747,0.1848,1.20334,51.661,-10.43899,1.00315,-0.26905,0.86141,-1.6481,1.64901,-0.68068,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,113.28209,18.546642,1280.268681,0.948065,9:45,-0.292191,0.876785,-0.381933,41.01341,-33.797768,47.919954,170.19421,13.475025,0.165621,0.233021,-0.958264,13.667363,9.533296,0.233021,0.165621,0.958264,-13.667363,-9.533296,-0.233021,-0.165621,0.958264,-170.19421,-13.475025,-0.165621,-0.233021,-0.958264
2,2024-10-11,15:33:37.11,1,2,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Dobbels, Gavin",10067727,Right,ASH_UNI,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.20842,-0.745012,3.512632,2029.19501,136.880961,10:30,5.18889,-0.89633,6.00901,-22.82836,14.668,-12.61528,2.595,1.31065,78.77138,-5.043269,1.24868,0.440723,,,,,,,,,,,,7.41052,8.10284,0.6269,50,5.11778,-7.15816,-125.03521,-2.31373,11.73972,25.04375,-19.33749,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241011-AshlandUniversity-Private-1,b6703410-8807-11ef-9b2d-a753a00dd5ee,85.52406,,,7.43703,,,,,,,e4870c6f-8438-4783-bdf9-f1349d8f4432,2024-10-11,19:33:37.11,2024-10-11T15:33:37.1152348-04:00,2024-10-11T19:33:37.1152348Z,,v3,,,,"Peltz, Ben",1000370416,Right,ASH_UNI,d3065643-7c77-465b-890f-27e714cc01f1,54.48723,-125.93077,12.52188,5.18816,-1.62223,-9.66874,0.89038,-7.57797,5.86986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,140.763893,-13.289897,1974.851998,0.973219,10:45,0.267622,0.618515,-0.738794,47.16301,-19.895334,48.434865,155.597663,-31.755315,0.351296,-0.526293,-0.774343,34.202519,-20.566586,0.526293,-0.351296,0.774343,-34.202519,20.566586,-0.526293,0.351296,0.774343,-155.597663,31.755315,-0.351296,0.526293,-0.774343
3,2024-10-11,15:33:48.35,1,3,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Dobbels, Gavin",10067727,Right,ASH_UNI,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,75.28702,-0.595596,3.276386,1513.487148,112.544045,9:45,4.86296,-1.17927,5.86119,-41.45569,7.88874,-15.27335,0.85409,0.59503,69.31783,-8.240104,0.53792,0.505581,,,,,,,,,,,,8.78087,4.63229,0.92265,50,4.79024,-5.72287,-109.2622,-2.35064,10.62662,19.05227,-26.56804,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241011-AshlandUniversity-Private-1,bd2a4f70-8807-11ef-9b2d-a753a00dd5ee,74.55277,,,5.96919,,,,,,,e4870c6f-8438-4783-bdf9-f1349d8f4432,2024-10-11,19:33:48.35,2024-10-11T15:33:48.3513308-04:00,2024-10-11T19:33:48.3513308Z,,v3,,,,"Peltz, Ben",1000370416,Right,ASH_UNI,d2843a6f-65be-46d2-b471-9ef2fdb0a5fe,54.63816,-110.068,9.52614,4.8659,-1.22698,-13.28402,1.1742,-6.17231,5.31331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,110.576565,26.007246,1360.229319,0.898739,9:45,-0.428424,0.836799,-0.340912,24.120156,-43.687133,73.942497,164.225643,17.061163,0.259886,0.293392,-0.919989,17.687925,15.063301,0.293392,0.259886,0.919989,-17.687925,-15.063301,-0.293392,-0.259886,0.919989,-164.225643,-17.061163,-0.259886,-0.293392,-0.919989
4,2024-10-11,15:33:59.97,1,4,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Dobbels, Gavin",10067727,Right,ASH_UNI,Undefined,1,Top,0,2,1,Curveball,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,73.53866,2.320776,0.705458,1948.050747,308.295483,4:15,4.94741,-1.21252,5.55344,-57.81314,-4.65185,8.29032,2.29946,0.13753,66.59674,-8.279271,2.185046,0.52477,84.15623,40.822514,30.824972,,87.92595,75.65896,66.09803,294.83816,286.18762,43.538513,4.754753,-3.96886,-2.60256,1.14585,50,5.10991,-1.61501,-106.5872,2.50957,-4.48684,21.27464,-35.11628,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241011-AshlandUniversity-Private-1,c40b05a0-8807-11ef-9b2d-a753a00dd5ee,71.82656,85.76551,,6.94192,,,,0.75028,2.21305,-0.19926,e4870c6f-8438-4783-bdf9-f1349d8f4432,2024-10-11,19:33:59.97,2024-10-11T15:33:59.9730140-04:00,2024-10-11T19:33:59.9730140Z,FlyBall,v3,,,,"Peltz, Ben",1000370416,Right,ASH_UNI,37014603-e2ce-4e2d-a247-8f404b33e287,54.94469,-107.56962,10.63732,4.95657,4.13118,-17.55814,1.21564,-1.40782,-2.24342,222.640307,0.76316,79.93412,-17.48055,3.21186,0.41358,-0.4602,0.1178,-0.01259,0.00046,2.21729,80.57584,-22.01607,0.67541,0.97104,-0.62876,0.18711,-0.02706,0.00152,-0.19776,47.81925,0.38351,-1.54929,0.90608,-0.36908,0.09586,-0.01347,0.00077,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,329.860381,-60.51581,958.798204,0.492183,5:00,0.854464,-0.282177,0.436196,68.145797,2.852403,-4.358107,136.159745,58.271038,0.364266,0.850545,-0.379319,65.964487,21.362408,0.850545,0.364266,0.379319,-65.964487,-21.362408,-0.850545,-0.364266,0.379319,-136.159745,-58.271038,-0.364266,-0.850545,-0.379319
5,2024-10-11,15:34:34.24,2,1,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Krueckeberg, Sean",1000094050,Left,ASH_UNI,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.82993,-1.279766,3.151667,2096.934398,136.216879,10:30,5.094,-0.85462,6.25567,-22.66737,14.95414,-13.13115,2.02298,0.96024,78.1676,-5.575257,0.782273,0.441458,,,,,,,,,,,,7.70284,8.5039,0.62665,50,4.98773,-6.34014,-124.51409,-3.42639,12.03847,26.05023,-18.88365,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241011-AshlandUniversity-Private-1,d880c100-8807-11ef-9b2d-a753a00dd5ee,85.38164,,,7.66233,,,,,,,e4870c6f-8438-4783-bdf9-f1349d8f4432,2024-10-11,19:34:34.24,2024-10-11T15:34:34.2469596-04:00,2024-10-11T19:34:34.2469596Z,,v3,,,,"Peltz, Ben",1000370416,Right,ASH_UNI,c781b23e-68e5-408e-ae5e-e683684c7ec1,54.24068,-125.39817,13.02511,5.09313,-2.78553,-9.44183,0.84875,-6.7487,6.01924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,141.373767,-21.546219,1950.404014,0.930122,10:45,0.393607,0.588674,-0.706071,63.858613,-20.27235,31.059297,151.621549,-41.392482,0.356564,-0.661213,-0.660045,45.050685,-20.889331,0.661213,-0.356564,0.660045,-45.050685,20.889331,-0.661213,0.356564,0.660045,-151.621549,41.392482,-0.356564,0.661213,-0.660045
6,2024-10-11,15:34:44.36,2,2,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Krueckeberg, Sean",1000094050,Left,ASH_UNI,Undefined,1,Top,1,0,1,Curveball,Curveball,InPlay,Undefined,Bunt,Out,1,0,,75.54875,1.474536,1.443855,1836.218495,359.407936,6:00,4.95441,-1.1205,5.63401,-53.72393,-4.4426,0.06122,1.85384,0.23195,69.67792,-8.332963,1.454799,0.505257,26.19422,-10.167979,-29.629342,1579.612784,,,,13.04986,13.0044,-19.555628,0.227795,0.36441,-2.40055,0.99767,50,5.04455,-2.76897,-109.77116,1.14236,0.44523,19.19646,-35.1069,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241011-AshlandUniversity-Private-1,de7f7ba0-8807-11ef-9b2d-a753a00dd5ee,74.60048,2.34793,,5.87084,,,,4.92722,2.34793,-0.14908,e4870c6f-8438-4783-bdf9-f1349d8f4432,2024-10-11,19:34:44.36,2024-10-11T15:34:44.3695068-04:00,2024-10-11T19:34:44.3695068Z,GroundBall,v3,,,,"Peltz, Ben",1000370416,Right,ASH_UNI,6aa5c632-f2e7-4641-a88a-268c0f2157ad,54.86758,-110.61912,9.59823,4.95984,2.69311,-17.55345,1.12042,-2.78864,0.22261,87.747145,4.92724,32.86896,-2.26538,,,,,,,2.34828,-6.80251,-15.39888,,,,,,,-0.14909,-18.69455,0.76229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,343.455603,-66.196085,741.112147,0.403608,5:30,0.901633,-0.138436,0.409747,55.151767,2.110815,7.73263,155.192302,59.219789,0.214715,0.859137,-0.464523,61.600551,12.398832,0.859137,0.214715,0.464523,-61.600551,-12.398832,-0.859137,-0.214715,0.464523,-155.192302,-59.219789,-0.214715,-0.859137,-0.464523
7,2024-10-11,15:35:16.88,3,1,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Overholt, Collin",1000335364,Right,ASH_UNI,Undefined,1,Top,2,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.00519,1.174802,2.160045,1974.293888,304.336968,4:15,4.91765,-1.06416,5.73012,-54.95511,-5.69292,10.78835,1.43306,1.84743,69.29956,-8.888477,4.090499,0.505159,,,,,,,,,,,,-4.76803,-2.69469,0.87753,50,4.98245,-4.56314,-110.22841,0.50073,-5.78725,22.05738,-35.44474,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241011-AshlandUniversity-Private-1,f1dd3750-8807-11ef-9b2d-a753a00dd5ee,74.61497,,,6.70563,,,,,,,e4870c6f-8438-4783-bdf9-f1349d8f4432,2024-10-11,19:35:16.88,2024-10-11T15:35:16.8801756-04:00,2024-10-11T19:35:16.8801756Z,,v3,,,,"Peltz, Ben",1000370416,Right,ASH_UNI,8b8708c3-fbfb-476d-94dd-3a31cc88ecd1,54.76764,-111.17835,11.02869,4.92802,2.02723,-17.72237,1.06868,-4.3139,-2.89363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,340.042862,-66.5581,785.411476,0.397819,5:15,0.899744,-0.154564,0.408131,66.096382,3.992402,6.714511,142.829619,57.680237,0.323025,0.845077,-0.426027,63.246065,18.845964,0.845077,0.323025,0.426027,-63.246065,-18.845964,-0.845077,-0.323025,0.426027,-142.829619,-57.680237,-0.323025,-0.845077,-0.426027
8,2024-10-11,15:35:27.80,3,2,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Overholt, Collin",1000335364,Right,ASH_UNI,Undefined,1,Top,2,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,86.44427,-0.323834,2.303909,2102.864307,142.304656,10:45,5.07732,-0.80084,6.09622,-20.15159,17.10599,-12.26827,3.09826,0.30883,78.60373,-4.162374,0.095535,0.439318,84.00983,32.094425,-22.246988,2459.713681,101.52971,58.88965,-42.32806,327.38708,317.44847,-22.021975,4.588221,7.02386,9.29201,0.6299,50,5.04178,-4.56303,-125.50192,-1.27844,11.14549,26.60765,-17.42946,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241011-AshlandUniversity-Private-1,f86bfcf0-8807-11ef-9b2d-a753a00dd5ee,85.79765,71.28128,,7.84054,,,,0.78768,3.11302,-0.3301,e4870c6f-8438-4783-bdf9-f1349d8f4432,2024-10-11,19:35:27.80,2024-10-11T15:35:27.8012380-04:00,2024-10-11T19:35:27.8012380Z,FlyBall,v3,,,,"Peltz, Ben",1000370416,Right,ASH_UNI,199a37ae-2a57-47a0-8a59-8a86a3580116,54.40109,-126.43156,13.30383,5.0758,-0.66948,-8.71473,0.79613,-4.95244,5.57274,172.677168,0.78997,96.55854,-15.16671,3.28077,-0.21994,-0.15706,0.0585,-0.00814,0.00041,3.11142,65.49742,-17.2551,1.01157,-0.24307,0.05606,-0.00043,-0.00173,0.00017,-0.33132,-39.4903,4.96678,-0.5461,-0.12755,0.0987,-0.02712,0.00352,-0.00018,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,139.954909,-15.267635,2028.64649,0.964706,10:45,0.289294,0.622161,-0.727478,59.824241,-16.008129,42.329824,148.610494,-38.472745,0.407778,-0.622142,-0.668323,42.950474,-24.065343,0.622142,-0.407778,0.668323,-42.950474,24.065343,-0.622142,0.407778,0.668323,-148.610494,38.472745,-0.407778,0.622142,-0.668323
9,2024-10-11,15:38:00.63,1,1,"Beaver, Brendan",1000347722,Left,ASH_UNI,"Miller, Cameron",10005975,Left,ASH_UNI,Undefined,1,Bottom,0,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,88.08157,-1.196115,3.724013,2168.549931,113.299625,9:45,5.53645,-1.82326,5.96018,-26.14194,10.18611,-20.70997,2.24633,-0.09106,79.83854,-6.092909,0.008103,0.433803,74.99488,6.431439,-9.307876,1852.571874,,,,89.08275,86.64237,-11.473257,0.873316,11.76367,5.96264,1.53897,50,5.42685,-7.44479,-127.63616,-3.51678,19.21864,28.6391,-22.43272,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241011-AshlandUniversity-Private-1,5371fd70-8808-11ef-9b2d-a753a00dd5ee,86.88836,4.41546,,8.24304,,,,0.57084,2.26476,0.05729,e4870c6f-8438-4783-bdf9-f1349d8f4432,2024-10-11,19:38:00.63,2024-10-11T15:38:00.6320092-04:00,2024-10-11T19:38:00.6320092Z,GroundBall,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,9d38cb05-90fa-4baf-baca-25309715065f,54.53756,-128.65027,14.31955,5.53732,-2.72243,-11.21636,1.81464,-8.12532,9.60932,82.088556,0.59841,107.43177,-9.36541,,,,,,,2.29553,11.84652,-16.61292,,,,,,,0.0778,-17.99791,-2.75114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,117.668781,8.938102,2142.216717,0.987857,10:00,-0.143436,0.871458,-0.469027,41.052863,-21.338439,-77.200674,97.031661,2.046533,0.991846,0.035711,-0.12234,16.272606,82.678012,0.035711,0.991846,0.12234,-16.272606,-82.678012,-0.035711,-0.991846,0.12234,-97.031661,-2.046533,-0.991846,-0.035711,-0.12234
10,2024-10-11,15:38:27.79,2,1,"Beaver, Brendan",1000347722,Left,ASH_UNI,"Hunt, Colton",10050479,Right,ASH_UNI,Undefined,1,Bottom,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,73.48703,0.198078,3.185164,1799.921051,97.132757,9:15,5.54317,-1.90504,5.72873,-47.70105,4.77382,-23.92285,1.75284,-0.92918,67.12872,-8.585454,-1.096373,0.521371,,,,,,,,,,,,13.15292,2.88091,1.65432,50,5.5304,-5.0811,-106.57706,-1.04619,15.00723,19.68575,-28.88699,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241011-AshlandUniversity-Private-1,63af6650-8808-11ef-9b2d-a753a00dd5ee,72.29481,,,6.35831,,,,,,,e4870c6f-8438-4783-bdf9-f1349d8f4432,2024-10-11,19:38:27.79,2024-10-11T15:38:27.7926876-04:00,2024-10-11T19:38:27.7926876Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,f92efe42-0036-4161-ae5d-6f1911003f73,54.77051,-107.45461,9.84288,5.54834,0.24153,-14.44349,1.89573,-5.75009,7.50362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,99.49579,9.813268,1773.585428,0.985368,9:15,-0.157786,0.97245,-0.171593,-113.112566,28.133029,0.23443,169.846031,3.15499,0.176027,0.055037,-0.982846,3.205088,10.138416,0.055037,0.176027,0.982846,-3.205088,-10.138416,-0.055037,-0.176027,0.982846,-169.846031,-3.15499,-0.176027,-0.055037,-0.982846
