PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,10/5/2024,42:22.6,1,1,"Shunck, RJ",10012310,Right,TOL_ROC,"Peltz, Ben",1000370416,Left,ASH_UNI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.204,-1.419478,0.294321,2225.434588,151.402406,11:00,5.69695,-1.53986,6.84209,-17.81351,17.11021,-8.6715,2.9178,-1.99409,79.95632,-4.874583,-1.290677,0.425336,,,,,,,,,,,,4.61799,9.83284,1.5232,50,5.59899,-0.32222,-128.15447,-3.58147,7.60155,29.01074,-15.98859,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-2,8f541bc0-8349-11ef-9170-d50176def474,88.61813,,,8.24768,,,,,,,555a5e06-0118-4d2a-b46a-f13119f86f52,10/5/2024,42:22.6,2024-10-05T14:42:22.6440000-04:00,2024-10-05T18:42:22.6440000Z,,v3,471468,,,"Cote, Josh",1000367330,Right,TOL_ROC,dd987e0e-aeec-4562-8471-79e2e70f7d52,53.65169,-128.97847,14.50537,5.69426,-3.12734,-7.99429,1.53541,-0.53813,3.80077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10/5/2024,42:39.9,1,2,"Shunck, RJ",10012310,Right,TOL_ROC,"Peltz, Ben",1000370416,Left,ASH_UNI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.09057,-5.641392,3.320937,2177.758701,143.777926,10:45,5.60728,-1.56902,6.91593,-18.69218,17.26843,-11.74083,-1.11278,0.48001,79.63054,-9.20882,1.174934,0.431604,,,,,,,,,,,,7.42221,11.33375,1.36497,50,5.24534,-6.92742,-125.95413,-12.90893,11.83248,27.40286,-14.1058,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-2,9996e8b0-8349-11ef-9170-d50176def474,87.33115,,,7.46003,,,,,,,555a5e06-0118-4d2a-b46a-f13119f86f52,10/5/2024,42:39.9,2024-10-05T14:42:39.9640000-04:00,2024-10-05T18:42:39.9640000Z,,v3,471468,,,"Cote, Josh",1000367330,Right,TOL_ROC,d57b02bd-d5ab-4187-80b3-6b3fc343a119,53.58555,-126.73181,13.70143,5.60601,-12.50862,-7.0529,1.56633,-7.26322,5.91624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,145.260947,-13.496465,2117.61842,0.972384,10:45,0.223776,0.574362,-0.787422,5.811365,-25.300785,77.686509,167.410313,-11.203501,0.213814,-0.194294,-0.957357,11.47228,-12.345947,0.194294,-0.213814,0.957357,-11.47228,12.345947,-0.194294,0.213814,0.957357,-167.410313,11.203501,-0.213814,0.194294,-0.957357
3,10/5/2024,43:06.6,1,3,"Shunck, RJ",10012310,Right,TOL_ROC,"Peltz, Ben",1000370416,Left,ASH_UNI,Undefined,1,Top,0,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.4759,-1.739013,1.265977,2230.07719,147.511219,11:00,5.5596,-1.54721,6.77011,-18.16855,16.96151,-9.96591,2.45671,-1.2215,79.53232,-5.271631,-0.552967,0.42659,74.59678,5.865886,173.361361,5322.733411,,,,91.38092,58.29955,171.115723,0.930411,5.52331,9.84839,1.46663,50,5.43844,-2.42041,-128.33106,-4.30922,9.04641,30.98171,-16.04377,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-2,a988c9a0-8349-11ef-9170-d50176def474,88.35752,4.39236,,8.94358,,,,0.95803,2.32179,1.21677,555a5e06-0118-4d2a-b46a-f13119f86f52,10/5/2024,43:06.6,2024-10-05T14:43:06.6000000-04:00,2024-10-05T18:43:06.6000000Z,GroundBall,v3,471468,,,"Cote, Josh",1000367330,Right,TOL_ROC,c0c11b03-8b10-4fcd-a7c4-8966befaf2ea,53.71901,-129.22579,15.49086,5.55619,-3.84589,-8.02188,1.54031,-2.68167,4.52321,122.260583,0.95803,-108.10581,12.53216,-2.21344,0.42574,-0.07466,0.01335,-0.00235,0.00024,2.32179,11.18157,-15.36873,0.80601,-0.11323,0.02289,-0.0024,0.00039,-7.00E-05,1.21677,12.58216,1.73591,-0.48437,0.12385,-0.02727,0.00558,-0.00102,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,,142.792514,-11.586116,2184.63702,0.979624,10:45,0.199964,0.598204,-0.775994,20.645541,-30.690655,63.489938,171.605027,-15.35993,0.140781,-0.264882,-0.953949,15.518314,-8.093064,0.264882,-0.140781,0.953949,-15.518314,8.093064,-0.264882,0.140781,0.953949,-171.605027,15.35993,-0.140781,0.264882,-0.953949
4,10/5/2024,43:30.4,1,4,"Shunck, RJ",10012310,Right,TOL_ROC,"Peltz, Ben",1000370416,Left,ASH_UNI,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.82569,-0.534464,0.688286,2143.664974,144.081701,10:45,5.58228,-1.66142,6.94134,-18.47324,16.68828,-11.19709,3.55635,-1.96803,79.35771,-4.12961,-1.361925,0.426781,,,,,,,,,,,,6.0926,9.38402,1.62115,50,5.542,-1.10799,-127.63426,-1.60404,9.91789,29.49795,-16.89813,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-2,b7b9e7c0-8349-11ef-9170-d50176def474,88.318,,,8.46798,,,,,,,555a5e06-0118-4d2a-b46a-f13119f86f52,10/5/2024,43:30.4,2024-10-05T14:43:30.4120000-04:00,2024-10-05T18:43:30.4120000Z,,v3,471468,,,"Cote, Josh",1000367330,Right,TOL_ROC,55833698-88f2-447e-863a-9be2fd4d0781,53.55268,-128.4527,14.74898,5.58,-1.13519,-8.44907,1.65571,-1.38317,4.95894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,,139.993844,-10.905932,2104.948517,0.981939,10:45,0.192322,0.632996,-0.749885,28.273891,-30.961888,52.761161,171.274385,-14.679485,0.146751,-0.253412,-0.956163,14.843825,-8.438685,0.253412,-0.146751,0.956163,-14.843825,8.438685,-0.253412,0.146751,0.956163,-171.274385,14.679485,-0.146751,0.253412,-0.956163
5,10/5/2024,43:50.8,1,5,"Shunck, RJ",10012310,Right,TOL_ROC,"Peltz, Ben",1000370416,Left,ASH_UNI,Undefined,1,Top,0,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.27427,-0.548395,1.133509,2134.745242,139.224339,10:45,5.58142,-1.44949,6.86437,-20.28033,14.49989,-11.4902,3.39142,-1.37368,80.08013,-4.457001,-0.967298,0.424461,88.98826,18.427002,55.052319,2505.074687,55.84377,27.99992,94.77053,248.49252,157.37037,65.100927,2.839244,6.4254,8.21508,1.38079,50,5.53894,-2.11307,-128.33474,-1.73169,10.61155,28.97361,-18.60688,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-2,c3de45f0-8349-11ef-9170-d50176def474,88.80074,29.2716,,8.19414,,,,-0.46277,3.07286,1.42704,555a5e06-0118-4d2a-b46a-f13119f86f52,10/5/2024,43:50.8,2024-10-05T14:43:50.7560000-04:00,2024-10-05T18:43:50.7560000Z,LineDrive,v3,471468,,,"Cote, Josh",1000367330,Right,TOL_ROC,61f3248f-5443-42d9-b8e3-526bdbee5dc2,53.63227,-129.15217,14.4868,5.58039,-1.20673,-9.30344,1.44464,-2.41246,5.30577,,-0.46276,70.92947,-19.2612,4.22618,-0.943,0.20095,-0.03673,0.0046,-0.00028,3.07286,41.2554,-18.05496,1.81272,-0.41406,0.08987,-0.01596,0.00208,-0.00013,1.42704,101.49522,-12.73614,2.75761,-0.61323,0.13015,-0.02388,0.003,-0.00018,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,141.025443,-13.355869,2077.009113,0.972954,10:45,0.24005,0.614147,-0.751798,27.810724,-32.065162,55.896944,171.15853,-19.128531,0.145215,-0.327688,-0.933559,19.34157,-8.349706,0.327688,-0.145215,0.933559,-19.34157,8.349706,-0.327688,0.145215,0.933559,-171.15853,19.128531,-0.145215,0.327688,-0.933559
6,10/5/2024,44:13.3,1,6,"Shunck, RJ",10012310,Right,TOL_ROC,"Peltz, Ben",1000370416,Left,ASH_UNI,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.12322,-1.648056,0.645238,2122.777759,151.609673,11:00,5.49757,-1.51845,6.90319,-18.33891,16.72965,-8.36146,2.46774,-1.62752,79.56199,-5.211185,-0.885043,0.426217,85.8286,-0.001664,34.767638,2900.910743,,,,,28.16034,,,4.63095,9.78808,1.48017,50,5.38699,-1.13063,-128.0127,-4.10372,7.56332,30.31345,-16.18803,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-2,d14eac20-8349-11ef-9170-d50176def474,88.43492,2.12632,,8.56123,,,,-0.37335,2.12632,1.74406,555a5e06-0118-4d2a-b46a-f13119f86f52,10/5/2024,44:13.3,2024-10-05T14:44:13.3040000-04:00,2024-10-05T18:44:13.3040000Z,,v3,471468,,,"Cote, Josh",1000367330,Right,TOL_ROC,c827d711-083f-4da8-83c6-3e7d950c0672,53.5921,-128.86051,15.15673,5.49543,-3.65097,-8.09401,1.51475,-1.34216,3.78166,,-0.37233,103.35061,-21.13318,,,,,,,2.13331,-0.40926,-36.90788,,,,,,,1.74633,71.6535,-20.54759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,141.066364,-9.051497,2096.343527,0.987547,10:45,0.148051,0.624862,-0.766569,33.183091,-37.254201,51.57124,179.914643,17.383548,0.001422,0.298767,-0.954325,17.383566,0.081458,0.298767,0.001422,0.954325,-17.383566,-0.081458,-0.298767,-0.001422,0.954325,-179.914643,-17.383548,-0.001422,-0.298767,-0.954325
7,10/5/2024,44:49.3,2,1,"Shunck, RJ",10012310,Right,TOL_ROC,"Scott, Cameron",1000370417,Right,ASH_UNI,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.31983,0.270934,0.446363,2510.584155,285.686662,3:30,5.53528,-1.71882,6.27496,-48.6368,-0.90736,9.04146,1.73197,-0.5539,69.60214,-8.75317,2.084131,0.497238,,,,,,,,,,,,-4.52359,-0.00484,1.68186,50,5.53251,-1.18236,-110.86428,-0.8906,-5.55816,22.17976,-32.18001,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-2,e6d27c20-8349-11ef-9170-d50176def474,75.80359,,,6.71769,,,,,,,555a5e06-0118-4d2a-b46a-f13119f86f52,10/5/2024,44:49.3,2024-10-05T14:44:49.3450000-04:00,2024-10-05T18:44:49.3450000Z,,v3,471468,,,"Cote, Josh",1000367330,Right,TOL_ROC,b72990df-1c78-41cb-866a-0e09f9c87c0a,54.22221,-111.70578,11.08988,5.54313,0.33032,-16.09,1.72271,-0.97148,-2.77908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,335.677982,-71.506234,796.360972,0.317201,5:15,0.945449,-0.135127,0.296423,68.843007,18.553817,25.073402,155.504344,41.544571,0.310321,0.663202,-0.681075,44.238283,18.0786,0.663202,0.310321,0.681075,-44.238283,-18.0786,-0.663202,-0.310321,0.681075,-155.504344,-41.544571,-0.310321,-0.663202,-0.681075
8,10/5/2024,45:08.4,2,2,"Shunck, RJ",10012310,Right,TOL_ROC,"Scott, Cameron",1000370417,Right,ASH_UNI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.57715,-1.920405,1.472998,2162.170705,153.642045,11:00,5.66508,-1.52588,6.81765,-16.97568,18.44367,-8.53981,2.4972,-0.8934,79.54271,-5.218053,-0.086709,0.428343,61.39976,36.28839,132.336651,4110.583452,,,,,50.24873,,,4.99264,10.73772,1.43385,50,5.5347,-2.96361,-127.24896,-4.65368,8.11015,28.37314,-14.73141,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-2,f223f9f0-8349-11ef-9170-d50176def474,87.99591,27.79618,,8.03444,,,,1.76987,2.39225,1.05483,555a5e06-0118-4d2a-b46a-f13119f86f52,10/5/2024,45:08.4,2024-10-05T14:45:08.4480000-04:00,2024-10-05T18:45:08.4480000Z,,v3,471468,,,"Cote, Josh",1000367330,Right,TOL_ROC,014738fb-e37f-4272-b37d-86cc1223a567,53.67997,-128.06687,14.18657,5.66273,-4.22902,-7.36571,1.52265,-3.1974,4.05508,,1.76987,-48.88617,-0.78044,1.36851,-0.85409,1.68526,-3.23921,3.29679,-1.30357,2.39225,53.29781,-27.51493,3.34663,-0.90765,1.05057,-1.89448,1.87629,-0.72537,1.05483,53.65637,-7.64712,2.28112,-0.96128,1.77583,-3.40419,3.43836,-1.34963,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,145.120085,-15.659838,2081.913499,0.962881,10:45,0.271544,0.559368,-0.78318,15.947032,-35.666451,61.305232,177.178268,-14.192694,0.047726,-0.245184,-0.968301,14.209226,-2.735536,0.245184,-0.047726,0.968301,-14.209226,2.735536,-0.245184,0.047726,0.968301,-177.178268,14.192694,-0.047726,0.245184,-0.968301
9,10/5/2024,45:32.6,2,3,"Shunck, RJ",10012310,Right,TOL_ROC,"Scott, Cameron",1000370417,Right,ASH_UNI,Undefined,1,Top,1,1,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.30515,-0.182693,1.496318,2200.332903,135.23822,10:30,5.56733,-1.5219,7.00883,-20.95603,13.15194,-12.04205,3.65487,-1.16498,81.1342,-4.196761,-0.711076,0.420339,,,,,,,,,,,,6.77248,7.38654,1.4334,50,5.54882,-2.92001,-128.53758,-0.93089,11.38512,25.44023,-19.75669,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-2,007fd190-834a-11ef-9170-d50176def474,89.67156,,,7.17095,,,,,,,555a5e06-0118-4d2a-b46a-f13119f86f52,10/5/2024,45:32.6,2024-10-05T14:45:32.5600000-04:00,2024-10-05T18:45:32.5600000Z,,v3,471468,,,"Cote, Josh",1000367330,Right,TOL_ROC,09801930-db19-49c6-8f56-6e195c5f13a8,53.48878,-129.22624,12.72012,5.56678,-0.39609,-9.87834,1.51661,-3.2282,5.69256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,143.949482,-15.786136,2117.344813,0.962284,10:45,0.290464,0.567167,-0.770683,37.337788,-28.526318,37.836232,171.405979,-21.295954,0.139228,-0.363185,-0.921256,21.515785,-8.003203,0.363185,-0.139228,0.921256,-21.515785,8.003203,-0.363185,0.139228,0.921256,-171.405979,21.295954,-0.139228,0.363185,-0.921256
10,10/5/2024,45:55.5,2,4,"Shunck, RJ",10012310,Right,TOL_ROC,"Scott, Cameron",1000370417,Right,ASH_UNI,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,1,0,,89.65726,-2.230625,2.796376,2271.999158,144.347959,10:45,5.52837,-1.54606,7.19545,-17.79422,14.95446,-10.0606,2.02177,0.1503,82.9482,-5.64762,0.947552,0.411878,,,,,,,,,,,,6.12323,8.91,1.38675,50,5.39345,-6.02984,-130.42592,-5.49824,10.6606,24.67607,-16.66169,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-2,0e3cf830-834a-11ef-9170-d50176def474,91.51367,,,6.70906,,,,,,,555a5e06-0118-4d2a-b46a-f13119f86f52,10/5/2024,45:55.5,2024-10-05T14:45:55.5410000-04:00,2024-10-05T18:45:55.5410000Z,,v3,471468,,,"Cote, Josh",1000367330,Right,TOL_ROC,6b784824-2176-4939-a740-9b1c148c554c,53.30452,-131.04963,12.33804,5.5271,-5.0771,-8.33084,1.54257,-6.29929,5.3303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.02483,2.314397,1.351629,0.962769,0.99837,1.98029,-0.15717,-2.50501,6.01642,-2.54351,70.67804,7.43364,-54.10287,-2.41588,80.71757,-4.93691,6.06335,13.59218,-12.61362,-2.67733,-59.47226,6.2243,High,High,High,,,High,Medium,High,144.811911,-13.869518,2205.757092,0.970844,10:45,0.256204,0.568367,-0.781868,26.702126,-26.633764,50.503607,168.721628,-16.803186,0.187226,-0.289085,-0.938817,17.114905,-10.790914,0.289085,-0.187226,0.938817,-17.114905,10.790914,-0.289085,0.187226,0.938817,-168.721628,16.803186,-0.187226,0.289085,-0.938817
